No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
24,表扬,biǎo yáng,to praise; to commend,ほめる,老师表扬了他。,先生は彼を褒めた。,The teacher praised him.,老师表扬了他的努力和进步，大家都很高兴。,先生は彼の努力と進歩を褒めて、みんながとても喜びました。
25,饼干,bǐng gān,"biscuit; cracker; cookie; CL:片[pian4] ,块[kuai4]",ビスケット,我喜欢吃饼干。,私はクッキーを食べるのが好きだ。,I like eating cookies.,下午茶时间，我们一起吃了很多美味的饼干。,午後のお茶の時間に、私たちは一緒にたくさん美味しいクッキーを食べました。
26,并且,bìng qiě,moreover; furthermore; in addition; besides; and,さらに,他努力学习，并且成功。,彼は一生懸命勉強し、そして成功した。,He studied hard and succeeded.,他不仅学习成绩好，并且在运动方面也很出色。,彼は勉強の成績が良いだけでなく、スポーツの面でも優れています。
27,博士,bó shì,doctor; court academician (in feudal China); Ph.D.,博士,他是博士学位。,彼は博士号を持っている。,He has a doctoral degree.,她经过多年努力，终于获得了博士学位。,彼女は何年もの努力の末、ついに博士号を取得しました。
28,不过,bú guò,only; merely; no more than; but; however; anyway (to get back to a previous topic),しかし,我想去，不过没时间。,行きたいけど、時間がない。,"I want to go, but I have no time.",这次考试不难，不过还是要认真复习。,今回の試験は難しくありませんが、やはりしっかり復習しなければなりません。
29,不得不,bù dé bù,have no choice or option but to; cannot but; have to; can't help it; can't avoid,〜せざるを得ない,我不得不离开了。,私はどうしても出発しなければならなかった。,I had to leave.,因为生病，我不得不请假在家休息几天。,病気のため、私はやむを得ず数日間家で休むために休暇を取りました。
30,不管,bù guǎn,"no matter (what, how); regardless of; no matter",〜に関係なく,不管天气如何去。,天気がどうであれ行く。,I will go no matter the weather.,不管遇到什么困难，我们都要坚持下去。,どんな困難に遭遇しても、私たちはあきらめずに続けなければなりません。
31,不仅,bù jǐn,not only (this one); not just (...) but also,だけでなく,她不仅漂亮，还聪明。,彼女は美しいだけでなく、賢い。,She is not only beautiful but also smart.,他不仅会说英语，还能说法语和西班牙语。,彼は英語だけでなく、フランス語とスペイン語も話せます。
32,部分,bù fen,part; share; section; piece; CL:个,部分,这部分很重要。,この部分はとても重要だ。,This part is very important.,这本书的内容分为几个部分，比较容易理解。,この本の内容はいくつかの部分に分かれており、比較的理解しやすいです。
33,擦,cā,to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish,拭く,请擦桌子干净。,テーブルをきれいに拭いてください。,Please wipe the table clean.,请用布把桌子上的灰尘擦干净。,布で机の上のほこりをきれいに拭いてください。
34,猜,cāi,to guess,当てる,你能猜出答案吗？,あなたは答えを当てられますか？,Can you guess the answer?,我猜你今天一定会来参加聚会吧？,私はあなたが今日必ずパーティーに来るだろうと推測しています。
35,材料,cái liào,"material; data; makings; stuff; CL:个,种[zhong3]",材料,准备好做菜材料。,料理の材料を準備する。,Prepare the ingredients for cooking.,请把所有材料准备好，明天开始上课。,すべての資料を準備して、明日から授業を始めてください。
36,参观,cān guān,to look around; to inspect; visit and observe,見学,我们参观了博物馆。,私たちは博物館を見学した。,We visited the museum.,我们计划下个月去博物馆参观新的展览。,私たちは来月博物館に行って、新しい展示を見学する予定です。
37,餐厅,cān tīng,"dining-hall; dining-room; restaurant; CL:间[jian1] ,家[jia1]",レストラン,餐厅里很热闹。,レストランはとても賑やかだ。,The restaurant is very lively.,这家餐厅的菜非常好吃，服务也很周到。,このレストランの料理はとても美味しく、サービスも行き届いています。
38,厕所,cè suǒ,"toilet; lavatory; CL:间[jian1] ,处[chu4]",トイレ,厕所在哪里？,トイレはどこですか？,Where is the restroom?,请问厕所在哪里？我急着要去。,すみません、トイレはどこですか？急いでいます。
39,差不多,chà bu duō,almost; nearly; more or less,ほとんど,他们差不多到了。,彼らはほぼ到着した。,They have almost arrived.,我们的想法差不多，可以一起合作完成任务。,私たちの考えはほぼ同じなので、一緒に協力して任務を完成できます。
40,尝,cháng,to try (to taste); to experience; flavor; (past tense marker); already; formerly; ever; once; test,味わう,我想尝新菜。,新しい料理を試してみたい。,I want to try new dishes.,我第一次尝试了这道菜，味道非常特别。,私は初めてこの料理を味わいましたが、とても特別な味でした。
41,长城,cháng chéng,the Great Wall,万里の長城,长城很有名。,万里の長城はとても有名だ。,The Great Wall is very famous.,长城是中国最著名的历史建筑之一，值得参观。,万里の長城は中国で最も有名な歴史的建造物の一つで、訪れる価値があります。
42,长江,cháng jiāng,Changjiang river; Yangtze river,長江,长江是中国最长河流。,長江は中国で最も長い川だ。,The Yangtze River is the longest river in China.,长江是中国最长的河流，流经很多城市。,長江は中国で最も長い川で、多くの都市を流れています。
43,场,chǎng,large place used for a specific purpose; stage; scene (of a play); threshing floor; classifier for sporting or recreational activities; classifier for number of exams,〜回,看了一场电影。,映画を一回見た。,Watched a movie.,这场比赛非常激烈，观众们都很兴奋。,この試合は非常に激しく、観客たちはみんな興奮していました。
44,超过,chāo guò,to surpass; to exceed; to outstrip,超える,他的成绩超过我。,彼の成績は私を超えた。,His grades surpassed mine.,他的收入已经超过了去年的两倍，生活变好了。,彼の収入はすでに去年の2倍を超え、生活が良くなりました。
45,乘坐,chéng zuò,to ride (in a vehicle),乗る,我乘坐火车去。,私は電車に乗って行く。,I go by train.,我们乘坐地铁去市中心，节省了很多时间。,私たちは地下鉄に乗って市の中心に行き、多くの時間を節約しました。
46,成功,chéng gōng,"success; to succeed; CL:次[ci4] ,个",成功,他终于成功了。,彼はついに成功した。,He finally succeeded.,经过努力，他终于在考试中取得了成功。,努力の末、彼はついに試験で成功を収めました。
47,成为,chéng wéi,to become; to turn into,〜になる,她成为了老师。,彼女は先生になった。,She became a teacher.,她希望将来成为一名医生，帮助更多的人。,彼女は将来医者になって、もっと多くの人を助けたいと思っています。
48,诚实,chéng shí,honest; honesty; honorable; truthful,正直,他很诚实可靠。,彼はとても誠実で信頼できる。,He is very honest and reliable.,诚实是做人的基本原则，我们都应该坚持。,誠実さは人としての基本原則であり、私たちは皆守るべきです。
49,吃惊,chī jīng,to be startled; to be shocked; to be amazed,びっくりする,我吃惊他的消息。,彼のニュースに驚いた。,I was surprised by his news.,听到这个消息后，他感到非常吃惊和激动。,この知らせを聞いて、彼は非常に驚き、感動しました。
50,重新,chóng xīn,again; once more; re-,再び,请重新开始。,もう一度始めてください。,Please start again.,失败了没关系，我们可以重新开始，再接再厉。,失敗しても大丈夫です。私たちは再出発して、一層努力できます。
51,抽烟,chōu yān,"to smoke (a cigarette, tobacco)",喫煙,他不喜欢抽烟。,彼はタバコを吸うのが好きではありません。,He doesn't like smoking.,他已经很多年不抽烟了，因为他知道抽烟对身体不好。,彼はもう何年もタバコを吸っていません、なぜならタバコが体に良くないと知っているからです。
52,出差,chū chāi,to go on an official or business trip,出張,我下周出差北京。,私は来週北京へ出張します。,I will go on a business trip to Beijing next week.,经理下周要去上海出差，准备参加一个重要的会议。,マネージャーは来週上海へ出張に行き、重要な会議に参加する予定です。
53,出发,chū fā,to start out; to set off,出発,我们明天出发去旅行。,私たちは明日旅行に出発します。,We will set off for a trip tomorrow.,我们决定明天早上七点从家里出发去机场。,私たちは明日の朝7時に家を出発して空港へ行くことにしました。
54,出生,chū shēng,to be born,出生,他1990年出生。,彼は1990年に生まれました。,He was born in 1990.,他出生在一个美丽的小城市，那里有很多山和河流。,彼は美しい小さな町で生まれました。そこにはたくさんの山や川があります。
55,出现,chū xiàn,to appear; to arise; to emerge; to show up,出現,问题突然出现了。,問題が突然現れました。,The problem suddenly appeared.,突然，问题出现在我们的计划里，需要马上解决。,突然、問題が私たちの計画に現れ、すぐに解決する必要があります。
56,厨房,chú fáng,kitchen; CL:间[jian1],台所,妈妈在厨房做饭。,お母さんは台所で料理をしています。,Mom is cooking in the kitchen.,妈妈正在厨房里做饭，香味传遍了整个房子。,お母さんがキッチンで料理をしていて、いい香りが家中に広がっています。
57,传真,chuán zhēn,fax; facsimile,FAX,我用传真发文件。,私はファックスで書類を送ります。,I send documents by fax.,请把合同传真给我，我需要尽快审核这些文件。,契約書をファックスで送ってください。私はできるだけ早くこれらの書類を確認する必要があります。
58,窗户,chuāng hu,"window; CL:个,扇[shan4]",窓,请打开窗户通风。,窓を開けて換気してください。,Please open the window for ventilation.,请把窗户打开，让新鲜空气进来。,窓を開けて、新鮮な空気を入れてください。
59,词语,cí yǔ,word (general term including monosyllables through to short phrases); term (e.g. technical term); expression,単語,这个词语很难懂。,この単語はとても分かりにくいです。,This word is very difficult to understand.,学习新词语对提高汉语水平非常重要。,新しい単語を学ぶことは中国語のレベルを上げるために非常に重要です。
60,从来,cóng lái,always; at all times; never (if used in negative sentence),今まで,我从来没去过日本。,私は今まで一度も日本に行ったことがありません。,I have never been to Japan.,我从来没有去过那个城市，听说那里很漂亮。,私はその町に一度も行ったことがありませんが、そこはとてもきれいだと聞きました。
61,粗心,cū xīn,careless; thoughtless,不注意,他做事很粗心。,彼は仕事がとても雑です。,He is very careless in doing things.,因为他太粗心，常常忘记带钥匙。,彼はとても不注意なので、よく鍵を持ってくるのを忘れます。
62,存,cún,exist; deposit; store; keep; survive,預ける,我把钱存银行。,私はお金を銀行に預けます。,I deposit money in the bank.,请把重要的文件存到电脑的硬盘里。,重要な書類をコンピューターのハードディスクに保存してください。
63,错误,cuò wù,error; mistake; mistaken; CL:个,間違い,他说错了一个错误。,彼は一つの間違いを言いました。,He said one mistake.,她在考试中发现了一个错误，及时改正了。,彼女は試験で間違いを見つけて、すぐに直しました。
64,答案,dá àn,answer; solution; CL:个,答え,请给我答案。,答えをください。,Please give me the answer.,老师给了我们这道题的答案，我们可以参考学习。,先生はこの問題の答えを私たちにくれました。参考にして勉強できます。
65,打扮,dǎ ban,to decorate; to dress; to make up; to adorn; manner of dressing; style of dress,おしゃれ,她喜欢打扮自己。,彼女は自分をおしゃれにするのが好きです。,She likes to dress up herself.,她今天特别用心打扮，参加朋友的生日聚会。,彼女は今日特におしゃれをして、友達の誕生日パーティーに参加します。
66,打扰,dǎ rǎo,to disturb; to bother; to trouble,邪魔する,对不起，打扰你了。,すみません、お邪魔しました。,Sorry to bother you.,抱歉打扰您，能帮我看一下这个文件吗？,お忙しいところすみません、この書類を見ていただけますか？
67,打印,dǎ yìn,to print; to seal; to stamp,印刷する,我需要打印文件。,私は書類を印刷する必要があります。,I need to print documents.,请先打印这份报告，然后交给经理审核。,まずこのレポートを印刷してから、マネージャーに確認してもらってください。
68,打招呼,dǎ zhāo hu,to greet sb by word or action; to give prior notice,挨拶,他跟我打招呼。,彼は私に挨拶しました。,He greeted me.,见到老朋友时，我们总是热情地打招呼。,古い友達に会うとき、私たちはいつも熱心に挨拶します。
69,打折,dǎ zhé,to give a discount,割引,商店正在打折。,店は割引中です。,The store is having a sale.,这个商店现在打折，很多商品都便宜了。,この店は今セール中で、多くの商品が安くなっています。
70,打针,dǎ zhēn,to give or have an injection,注射,医生给我打针。,医者は私に注射をしました。,The doctor gave me an injection.,小孩发烧了，医生建议打针治疗。,子供が熱を出したので、医者は注射で治療することを勧めました。
71,大概,dà gài,roughly; probably; rough; approximate; about,おおよそ,大概十个人参加。,だいたい10人が参加します。,About ten people participate.,他大概十分钟后会到，请你耐心等一会儿。,彼はおよそ10分後に到着しますので、少しの間辛抱して待ってください。
72,大使馆,dà shǐ guǎn,"embassy; CL:座[zuo4] ,个",大使館,他在大使馆工作。,彼は大使館で働いています。,He works at the embassy.,如果护照丢了，请马上去大使馆申请新的证件。,パスポートをなくしたら、すぐに大使館に行って新しい証明書を申請してください。
73,大约,dà yuē,approximately; about,約,会议大约下午三点。,会議はだいたい午後3時です。,The meeting is approximately at 3 p.m.,这次旅行大约花费了五千元，包括交通和住宿。,今回の旅行は交通費と宿泊費を含めて、約5000元かかりました。
74,大夫,dài fu,"doctor; minister of state (in pre-Han states); CL:个,位[wei4]",医者,大夫很专业。,医者はとても専門的です。,The doctor is very professional.,大夫说我需要多休息，避免过度劳累。,医者は私にもっと休むように言い、過度の疲労を避けるように言いました。
75,戴,dài,"to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support",身につける,她戴着漂亮的帽子。,彼女はきれいな帽子をかぶっています。,She is wearing a beautiful hat.,他每天戴着眼镜工作，以保护视力。,彼は毎日眼鏡をかけて仕事をし、視力を守っています。
76,当,dāng,to be; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at,〜になる,他当老师已经五年。,彼は先生をしてもう5年になります。,He has been a teacher for five years.,我想当老师，因为我喜欢和学生一起学习。,私は先生になりたいです。なぜなら学生と一緒に学ぶのが好きだからです。
77,当时,dāng shí,then; at that time; while,当時,当时我很忙。,その時、私はとても忙しかったです。,I was very busy at that time.,当时我正在开会，没有听到你的电话。,その時私は会議中で、あなたの電話に気づきませんでした。
78,刀,dāo,knife; CL:把[ba3],ナイフ,厨房里有一把刀。,台所に一本の包丁があります。,There is a knife in the kitchen.,厨房里有一把锋利的刀，切菜非常方便。,キッチンには鋭い包丁があり、野菜を切るのにとても便利です。
79,导游,dǎo yóu,tour guide; to conduct a tour; a guidebook,ガイド,导游介绍景点。,ガイドは観光地を紹介します。,The tour guide introduces the attractions.,导游带我们参观了很多有名的景点，讲解得很详细。,ガイドは私たちを多くの有名な観光地に案内し、とても詳しく説明してくれました。
80,倒,dào,to move backwards; converse,さかさま,请不要把水倒掉。,水を捨てないでください。,Please do not pour out the water.,请小心倒热水，避免烫伤自己。,熱いお湯を注ぐときは注意してください。やけどしないように。
81,到处,dào chù,in all places; everywhere,至る所,花开到处都是。,花があちこちに咲いています。,Flowers are blooming everywhere.,节日的时候，到处都是灯光和欢笑声，非常热闹。,祭りの時、あちこちに灯りと笑い声があって、とても賑やかです。
82,到底,dào dǐ,finally; in the end; when all is said and done; after all; to the end; to the last,結局,他到底去了哪里？,彼は一体どこへ行ったのですか？,Where on earth did he go?,你到底喜欢吃什么菜？告诉我吧！,あなたは一体何の料理が好きですか？教えてください！
83,道歉,dào qiàn,to apologize; to make an apology,謝る,我向你道歉。,私はあなたに謝ります。,I apologize to you.,因为迟到，他向老师诚恳地道歉了。,遅刻したため、彼は先生に誠実に謝りました。
84,得,dé,"to have to, to need to (particle used to express capability, possibility, degree, effect...); must; ought to; to need to",得る,他得了奖学金。,彼は奨学金をもらいました。,He received a scholarship.,你得认真学习，这样才能取得好成绩。,真剣に勉強しなければなりません。そうすれば良い成績が取れます。
85,得意,dé yì,proud of oneself; pleased with oneself; complacent,得意,他对自己很得意。,彼は自分にとても自信があります。,He is very proud of himself.,他完成了任务，非常得意地向大家展示成果。,彼は任務を終えて、とても得意そうにみんなに成果を見せました。
86,登机牌,dēng jī pái,boarding pass,搭乗券,请出示登机牌。,搭乗券を提示してください。,Please show your boarding pass.,登机牌请提前打印，方便机场快速办理手续。,搭乗券はあらかじめ印刷してください。空港での手続きがスムーズになります。
87,等,děng,etc (indicating the end of an enumeration),待つ,我在门口等你。,私は入口であなたを待っています。,I am waiting for you at the door.,我们在门口等了半个小时，还是没见到他。,私たちは玄関で30分待ちましたが、彼をまだ見かけません。
88,低,dī,low; beneath; to lower (one's head); to let droop; to hang down; to incline,低い,这个楼层很低。,この階はとても低いです。,This floor is very low.,这个地方的温度比昨天低了很多，记得多穿衣服。,この場所の気温は昨日よりかなり低いので、忘れずに多く服を着てください。
89,底,dǐ,background; bottom; base; the end of a period of time; towards the end of (last month),底,杯子底有水。,コップの底に水があります。,There is water at the bottom of the cup.,瓶子的底有一点水，可能没倒干净。,瓶の底に少し水が残っていて、きれいに注げなかったかもしれません。
90,地点,dì diǎn,place; site; location; venue; CL:個|个[ge4];,場所,会议地点在酒店。,会議の場所はホテルです。,The meeting place is at the hotel.,会议的地点定在市中心的酒店，交通很方便。,会議の場所は市の中心にあるホテルに決まり、交通がとても便利です。
91,地球,dì qiú,the Earth; planet; CL:个,地球,地球是我们的家。,地球は私たちの家です。,The Earth is our home.,地球是我们唯一的家，需要大家共同保护环境。,地球は私たちの唯一の家であり、みんなで環境を守る必要があります。
92,地址,dì zhǐ,address; CL:个,住所,请告诉我你的地址。,あなたの住所を教えてください。,Please tell me your address.,请把你的详细地址写在表格上，我们会尽快寄过去。,あなたの詳しい住所を用紙に書いてください。できるだけ早く送ります。
93,掉,diào,"to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair)",落ちる,手机掉在地上。,携帯電話が地面に落ちました。,The mobile phone fell on the ground.,不小心手机从手里掉到了地上，屏幕碎了。,うっかり携帯が手から落ちて画面が割れてしまいました。
94,调查,diào chá,"investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:项[xiang4] ,个",調査,他们正在调查问题。,彼らは問題を調査しています。,They are investigating the problem.,公司正在调查客户的满意度，收集反馈意见。,会社は顧客の満足度を調査して、フィードバックを集めています。
95,丢,diū,to lose; to put aside; to throw,なくす,我丢了钥匙。,私は鍵をなくしました。,I lost the key.,他把钱包丢了，里面有很多重要的证件。,彼は財布をなくしてしまい、中にはたくさんの重要な証明書が入っていました。
96,动作,dòng zuò,movement; motion; action; CL:个,動作,他的动作很快。,彼の動きはとても速いです。,His movements are very fast.,学习舞蹈时，要注意动作的准确和优美。,ダンスを習うときは、動作の正確さと美しさに注意しなければなりません。
97,堵车,dǔ chē,traffic jam; choking,渋滞,路上堵车很严重。,道路の渋滞がとてもひどいです。,The traffic jam on the road is very serious.,因为堵车，我们迟到了二十分钟，真不好意思。,渋滞のせいで私たちは20分遅刻し、本当に申し訳ないです。
98,肚子,dù zi,belly; abdomen; stomach; CL:个,お腹,我肚子有点疼。,お腹が少し痛いです。,My stomach hurts a little.,吃了太多辣的东西，肚子疼得很厉害。,辛いものを食べ過ぎて、お腹がとても痛いです。
99,短信,duǎn xìn,text message; SMS,ショートメール,我给你发短信。,私はあなたにショートメッセージを送ります。,I send you a text message.,他给我发了一条短信，告诉我明天的会议时间。,彼は私にショートメッセージを送り、明日の会議の時間を教えてくれました。
100,对话,duì huà,dialog; CL:个,対話,请听对话录音。,会話の録音を聞いてください。,Please listen to the dialogue recording.,我们通过对话练习，提高了汉语口语能力。,私たちは対話を通じて練習し、中国語の会話能力を向上させました。
101,对面,duì miàn,opposite,向かい側,学校就在我家对面。,学校は私の家の向かいにあります。,The school is right across from my house.,我的家就在学校对面，走路只需要五分钟。,私の家は学校の向かいにあり、歩いてわずか5分です。
102,对于,duì yú,regarding; as far as sth is concerned; with regards to,〜について,对于这个问题，我们需要讨论。,この問題について、私たちは議論する必要があります。,We need to discuss this issue.,对于学习汉语，你需要多听多说才能进步。,中国語の勉強については、多く聞いて多く話すことが上達の鍵です。
103,儿童,ér tóng,child; CL:个,子ども,儿童喜欢玩游戏。,子供たちはゲームをするのが好きです。,Children like to play games.,儿童在玩耍的时候，家长应该时刻注意安全。,子どもたちが遊んでいるとき、親は常に安全に注意しなければなりません。
104,而,ér,yet (not); and; as well as; and so; but (not); (indicates causal relation); (indicates change of state); (indicates contrast),しかし,他喜欢音乐，而我喜欢运动。,彼は音楽が好きで、私はスポーツが好きです。,"He likes music, and I like sports.",他喜欢运动，而我更喜欢读书和写作。,彼はスポーツが好きですが、私は読書と執筆の方が好きです。
105,发生,fā shēng,to happen; to occur; to take place; to break out,起こる,昨天晚上发生了事故。,昨夜事故が起きました。,An accident happened last night.,昨晚小区里发生了一起小偷事件，大家都很紧张。,昨晩、住宅地で泥棒事件が起きて、みんなとても緊張しました。
106,发展,fā zhǎn,development; growth; to develop; to grow; to expand,発展,这个城市发展得很快。,この都市はとても速く発展しています。,This city is developing very quickly.,中国的经济发展速度非常快，吸引了很多外国投资。,中国の経済発展のスピードは非常に速く、多くの外国投資を引きつけています。
107,法律,fǎ lv4,"law; CL:条[tiao2] , 套[tao4] , 个",法律,我们必须遵守法律。,私たちは法律を守らなければなりません。,We must abide by the law.,法律规定所有人都有平等的权利和义务。,法律はすべての人が平等な権利と義務を持つことを定めています。
108,翻译,fān yì,"to translate; to interpret; translator; interpreter; translation; interpretation; CL:个,位[wei4] ,名[ming2]",翻訳,他会翻译中文文章。,彼は中国語の記事を翻訳できます。,He can translate Chinese articles.,这篇文章很长，我需要花时间仔细翻译。,この記事はとても長いので、時間をかけて丁寧に翻訳する必要があります。
109,烦恼,fán nǎo,agonize; agony; annoyance; upset; vexation; worries,悩み,她有很多烦恼。,彼女はたくさんの悩みを持っています。,She has many troubles.,面对学习上的烦恼，我们应该积极寻求帮助解决问题。,勉強の悩みに直面したときは、積極的に助けを求めて問題を解決すべきです。
110,反对,fǎn duì,to fight against; to oppose; to be opposed to; opposition,反対する,我反对你的意见。,私はあなたの意見に反対です。,I oppose your opinion.,我反对这个计划，因为它可能会带来很多风险。,私はこの計画に反対です。なぜなら多くのリスクをもたらす可能性があるからです。
111,方法,fāng fǎ,method; way; means; CL:个,方法,学习汉语的方法很多。,中国語を学ぶ方法はたくさんあります。,There are many ways to learn Chinese.,解决问题的方法有很多，我们需要找到最合适的那个。,問題を解決する方法はたくさんありますが、私たちは最も適したものを見つける必要があります。
112,方面,fāng miàn,respect; aspect; field; side; CL:个,面,他在学习方面很努力。,彼は勉強にとても努力しています。,He works very hard in his studies.,他在学习方面非常努力，所以成绩也很好。,彼は勉強の面で非常に努力しているので、成績も良いです。
113,方向,fāng xiàng,direction; orientation; path to follow; CL:个,方向,请告诉我正确方向。,正しい方向を教えてください。,Please tell me the correct direction.,请告诉我去火车站的正确方向好吗？,駅に行く正しい方向を教えてもらえますか？
114,房东,fáng dōng,landlord,家主,房东很友好。,家主はとても親切です。,The landlord is very friendly.,房东要求我们每个月按时交房租，不得拖欠。,大家さんは毎月家賃を期限通りに支払うよう求めており、遅延は許されません。
115,放弃,fàng qì,to renounce; to abandon; to give up,あきらめる,不要轻易放弃梦想。,夢を簡単にあきらめないでください。,Don't give up your dreams easily.,虽然遇到困难，他从来没有想过放弃自己的梦想。,困難に直面しても、彼は自分の夢をあきらめようと思ったことは一度もありません。
