No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
26,儿子,ér zi,son,息子,他是儿子。,彼は息子です。,He is a son.,我的儿子五岁了。,私の息子は5歳です。
27,二,èr,two; 2; stupid (Beijing dialect),二,我有二本书。,私は二冊の本を持っています。,I have two books.,我家有二只猫。,私の家には2匹の猫がいます。
28,饭店,fàn diàn,"restaurant; hotel; CL:家[jia1],個|个[ge4];",レストラン,我们去饭店。,私たちはレストランに行きます。,We go to the restaurant.,我们去饭店吃晚饭。,私たちはレストランで夕食を食べに行きます。
29,飞机,fēi jī,airplane; CL: 架[jia4],飛行機,飞机很大。,飛行機はとても大きいです。,The airplane is very big.,飞机在机场准备起飞。,飛行機は空港で離陸の準備をしています。
30,分钟,fēn zhōng,minute,分（時間）,等五分钟。,5分待ってください。,Wait for five minutes.,等我五分钟，好吗？,5分待ってくれますか？
31,高兴,gāo xìng,happy; glad; willing (to do sth); in a cheerful mood,うれしい,我很高兴。,私はとても嬉しいです。,I am very happy.,听到好消息，我很高兴。,良い知らせを聞いて、私はとてもうれしいです。
32,个,gè,classifier for people or objects in general; individual; this; that; size,個（量詞）,一个苹果。,一つのリンゴ。,An apple.,我有三个好朋友。,私は3人の良い友達がいます。
33,工作,gōng zuò,"job; work; construction; task; CL:个[ge4] ,份[fen4] ,项[xiang4]",仕事,我有工作。,私は仕事があります。,I have a job.,爸爸的工作很忙。,お父さんの仕事はとても忙しいです。
34,狗,gǒu,"dog; CL:只[zhi1] ,条[tiao2]",犬,我有狗。,私は犬を飼っています。,I have a dog.,我家有一只小狗。,私の家には小さな犬が一匹います。
35,汉语,hàn yǔ,Chinese language,中国語,我学汉语。,私は中国語を勉強します。,I study Chinese.,我喜欢学习汉语。,私は中国語を学ぶのが好きです。
36,好,hǎo,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness),良い,天气很好。,天気はとても良いです。,The weather is very good.,今天天气很好。,今日は天気がいいです。
37,号,hào,day of a month; (suffix used after) name of a ship; (ordinal) number,番号,我的号码。,私の番号。,My number.,我住在三号楼。,私は3号棟に住んでいます。
38,喝,hē,to drink; to shout (a command),飲む,我喝水。,私は水を飲みます。,I drink water.,我喜欢喝水和茶。,私は水とお茶を飲むのが好きです。
39,和,hé,and; together with; with; sum; union; peace; harmony; surname He,と,我和你。,私とあなた。,Me and you.,我和朋友一起学习。,私は友達と一緒に勉強します。
40,很,hěn,very; (adverb of degree); quite; awfully,とても,他很高。,彼はとても背が高いです。,He is very tall.,这本书很有意思。,この本はとても面白いです。
41,后面,hòu miàn,rear; back; behind; later; afterwards,後ろ,我在后面。,私は後ろにいます。,I am at the back.,学校在商店的后面。,学校は店の後ろにあります。
42,回,huí,to go back; to turn around; to answer; to return; to circle; to revolve; Hui ethnic group; time; classifier for acts of a play; section or chapter (of a classic book),帰る,我回家。,私は家に帰ります。,I go home.,我明天回家。,私は明日家に帰ります。
43,会,huì,can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; a moment (Taiwan pr. for this sense is hui3),できる,我会说。,私は話すことができます。,I can speak.,我会说一点汉语。,私は少し中国語を話せます。
44,几,jǐ,how much; how many; several; a few,いくつ,你几岁？,あなたは何歳ですか？,How old are you?,你家有几个人？,あなたの家には何人いますか？
45,家,jiā,"home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:个[ge4]",家,我爱家。,私は家が好きです。,I love home.,我家很大，有五个房间。,私の家は大きくて、5つの部屋があります。
46,叫,jiào,to call; to shout; to order; to ask; to be called; by (indicates agent in the passive mood),呼ぶ,我叫李明。,私は李明といいます。,My name is Li Ming.,你叫什么名字？,あなたの名前は何ですか？
47,今天,jīn tiān,today; at the present,今日,今天很热。,今日はとても暑いです。,It is very hot today.,今天是星期天，我们休息。,今日は日曜日で、私たちは休みです。
48,九,jiǔ,nine; 9,九,我有九本书。,私は九冊の本を持っています。,I have nine books.,我有九本汉语书。,私は9冊の中国語の本を持っています。
49,开,kāi,to open; to start; to turn on; to operate (vehicle),開ける,我开门。,私はドアを開けます。,I open the door.,请开门，我来了。,ドアを開けてください、私が来ました。
50,看,kàn,to look at,見る,我看书。,私は本を読みます。,I read books.,我喜欢看电视和电影。,私はテレビと映画を見るのが好きです。
51,看见,kàn jiàn,to see; to catch sight of,見る,我看见你。,私はあなたを見ました。,I saw you.,我在公园里看见很多小鸟。,私は公園でたくさんの小鳥を見ました。
52,块,kuài,"unit of currency; lump (of earth); chunk; piece; classifier for pieces of cloth, cake, soap etc; colloquial word for yuan (or other unit of currency such as Hong Kong or US dollar etc), usually as 块钱",元、塊,这块很大。,これはとても大きいです。,This piece is very big.,我买了一块很好吃的蛋糕。,私はとてもおいしいケーキを一切れ買いました。
53,来,lái,to come; to arrive; to come round; ever since; next,来,请你来。,どうぞ来てください。,Please come.,请你明天来我家玩，好吗？,明日私の家に遊びに来てください、いいですか？
54,老师,lǎo shī,"teacher; CL:个[ge4] ,位[wei4]",先生、先生,老师来了。,先生が来ました。,The teacher has arrived.,老师在教室里教我们中文。,先生は教室で私たちに中国語を教えています。
55,了,le,(completed action marker); (modal particle intensifying preceding clause),了（完了）,我吃了。,私は食べました。,I ate.,他昨天去了公园，玩得很开心了。,彼は昨日公園に行って、とても楽しく遊びました。
56,冷,lěng,cold,寒い,天气很冷。,天気がとても寒いです。,The weather is very cold.,今天外面很冷，请多穿衣服。,今日は外がとても寒いので、たくさん服を着てください。
57,里,lǐ,inside; lining; interior; internal,中、内,书在里。,本は中にあります。,The book is inside.,我的书包里有一本新书。,私のかばんの中に新しい本があります。
58,六,liù,six; 6,六,我有六本书。,私は六冊の本を持っています。,I have six books.,我家有六个人，大家很快乐。,私の家は6人家族で、みんなとても幸せです。
59,吗,ma,(question tag),か（疑問）,你好吗？,お元気ですか？,How are you?,你喜欢喝茶吗？我也喜欢。,あなたはお茶を飲むのが好きですか？私も好きです。
60,妈妈,mā ma,"mum; mama; mommy; mother; CL:个[ge4] ,位[wei4]",母,妈妈好。,お母さんは元気です。,Mom is well.,妈妈每天早上给我做早餐。,お母さんは毎朝私に朝ごはんを作ってくれます。
61,买,mǎi,to buy; to purchase,買う,我买苹果。,私はリンゴを買います。,I buy apples.,我去商店买了很多水果。,私は店に行ってたくさん果物を買いました。
62,猫,māo,cat; CL:只[zhi1],猫,猫很可爱。,猫はとてもかわいいです。,The cat is very cute.,我家有一只小猫，它很可爱。,私の家には小さな猫が1匹います、とてもかわいいです。
63,没关系,méi guān xi,it doesn't matter,大丈夫,没关系。,大丈夫です。,It's okay.,对不起，没关系，我们是朋友。,ごめんなさい、大丈夫です、私たちは友達です。
64,没有,méi yǒu,haven't; hasn't; doesn't exist; to not have; to not be;,ない,我没有钱。,私はお金がありません。,I don't have money.,我没有钱，所以不能买玩具。,私はお金がないので、玩具を買えません。
65,米饭,mǐ fàn,(cooked) rice,ご飯,我要米饭。,私はご飯が欲しいです。,I want rice.,妈妈做了很多米饭，我们一起吃。,お母さんがたくさんご飯を作って、みんなで食べました。
66,名字,míng zi,name (of a person or thing); CL:个[ge4],名前,你叫什么名字？,あなたの名前は何ですか？,What is your name?,请告诉我你的名字，我想认识你。,あなたの名前を教えてください、知り合いたいです。
67,明天,míng tiān,tomorrow,明日,明天见。,また明日。,See you tomorrow.,明天我们一起去公园玩，好吗？,明日私たちは一緒に公園へ遊びに行きます、いいですか？
68,哪,nǎ,"which? (interrogative, followed by classifier or numeral-classifier);",どこ,你在哪？,あなたはどこにいますか？,Where are you?,你喜欢哪个颜色？红色还是蓝色？,あなたはどの色が好きですか？赤ですか、それとも青ですか？
69,哪儿,nǎ er,where?; wherever; anywhere,どこ,你去哪儿？,あなたはどこへ行きますか？,Where are you going?,你的书包在哪儿？我找不到了。,あなたのかばんはどこですか？私は見つけられません。
70,那,nà,"that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing;",あれ,那是书。,あれは本です。,That is a book.,那个人是我的老师，他很友好。,あの人は私の先生です、彼はとても優しいです。
71,呢,ne,(question particle for subjects already mentioned),〜は？,你呢？,あなたは？,And you?,你喜欢喝茶还是咖啡呢？,あなたはお茶が好きですか、それともコーヒーですか？
72,能,néng,to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of,できる,我能去。,私は行くことができます。,I can go.,我能帮你吗？请告诉我需要什么。,私が手伝いましょうか？何が必要か教えてください。
73,你,nǐ,you (informal),あなた,你很好。,あなたはとても良いです。,You are very good.,你今天去学校吗？我也要去。,あなたは今日学校へ行きますか？私も行きます。
74,年,nián,year; CL:个[ge4],年,今年是2024年。,今年は2024年です。,This year is 2024.,今年是二零二四年，我们一起努力。,今年は2024年です、一緒に頑張りましょう。
75,女儿,nǚ ér,daughter,娘,她是女儿。,彼女は娘です。,She is a daughter.,我的女儿今年六岁，她很聪明。,私の娘は今年6歳で、とても賢いです。
76,朋友,péng you,"friend; CL:个[ge4] ,位[wei4]",友達,他是朋友。,彼は友達です。,He is a friend.,我有很多朋友，他们都很友好。,私はたくさんの友達がいて、みんなとても親切です。
77,漂亮,piào liang,pretty; beautiful,きれい,花很漂亮。,花はとてもきれいです。,The flower is very beautiful.,她是一个漂亮的女孩，大家都喜欢她。,彼女はきれいな女の子で、みんなに好かれています。
78,苹果,píng guǒ,"apple; CL:个[ge4] ,颗[ke1]",りんご,我喜欢苹果。,私はリンゴが好きです。,I like apples.,我每天吃一个苹果，很健康。,私は毎日リンゴを一つ食べます、とても健康です。
79,七,qī,seven; 7,七,七个人。,七人です。,Seven people.,今天是七月七号，我们去公园玩。,今日は7月7日です、私たちは公園に遊びに行きます。
80,前面,qián miàn,ahead; in front; preceding; above,前,学校在前面。,学校は前にあります。,The school is in front.,商店就在前面，走几分钟就到了。,店はすぐ前にあります、歩いて数分で着きます。
81,钱,qián,coin; money; CL:笔[bi3],お金,我有钱。,私はお金を持っています。,I have money.,我没有很多钱，只能买一点东西。,私はあまりお金がないので、少ししか買えません。
82,请,qǐng,to ask; to invite; please (do sth); to treat (to a meal etc); to request,どうぞ,请进。,どうぞお入りください。,Please come in.,请你帮我打开门，谢谢你。,ドアを開けてください、ありがとうございます。
83,去,qù,to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed,行く,我去学校。,私は学校へ行きます。,I go to school.,下午我们一起去商店买东西。,午後、私たちは一緒に店に買い物に行きます。
84,热,rè,heat; to heat up; fervent; hot (of weather); warm up,暑い,今天很热。,今日はとても暑いです。,Today is very hot.,夏天很热，我们喜欢吃冰淇淋。,夏はとても暑いので、私たちはアイスクリームを食べるのが好きです。
85,人,rén,"man; person; people; CL:个[ge4] ,位[wei4]",人,这里有人。,ここに人がいます。,There is someone here.,这里有很多人，大家都很开心。,ここにはたくさんの人がいて、みんなとても楽しいです。
86,认识,rèn shi,to know; to recognize; to be familiar with; acquainted with sth; knowledge; understanding; awareness; cognition,知る,我认识他。,私は彼を知っています。,I know him.,我认识他，他是我的好朋友。,私は彼を知っています、彼は私の良い友達です。
87,三,sān,three; 3,三,三本书。,三冊の本。,Three books.,我有三本书，都很有意思。,私は本を三冊持っていて、全部とても面白いです。
88,商店,shāng diàn,"store; shop; CL:家[jia1] ,个[ge4]",店,我去商店。,私は店へ行きます。,I go to the store.,商店里有很多水果和蔬菜。,店の中にはたくさんの果物と野菜があります。
89,上,shàng,on,上,书在桌上。,本は机の上にあります。,The book is on the table.,书包放在桌子上，不要忘了拿。,かばんは机の上に置いてあります、忘れずに持ってください。
90,上午,shàng wǔ,morning; CL:个[ge4],午前,上午好。,おはようございます。,Good morning.,上午我们上中文课，老师很认真。,午前中に中国語の授業を受けます、先生はとても真面目です。
91,少,shǎo,few; little; lack,少ない,人很少。,人がとても少ないです。,There are very few people.,我有少量的钱，买了一个便宜的书包。,私は少しだけお金があって、安いかばんを買いました。
92,谁,shéi,who; also pronounced shui2,誰,他是谁？,彼は誰ですか？,Who is he?,谁是你的好朋友？请介绍一下。,誰があなたの良い友達ですか？少し紹介してください。
93,什么,shén me,what?; who?; something; anything,何,你叫什么？,あなたの名前は何ですか？,What is your name?,你喜欢吃什么？我喜欢吃水果。,あなたは何を食べるのが好きですか？私は果物が好きです。
94,十,shí,ten; 10,十,十个人。,十人です。,Ten people.,我有十个苹果，送给你一个吧。,私はリンゴを10個持っています、あなたに1つあげます。
95,时候,shí hou,time; length of time; moment; period,時,现在是时候。,今がその時です。,Now is the time.,放学的时候，我们一起回家。,放課後に、私たちは一緒に帰ります。
96,是,shì,to be; yes,です,我是学生。,私は学生です。,I am a student.,这是我的书，是新的，不是旧的。,これは私の本で、新しいもので、古くありません。
97,书,shū,"book; letter; CL:本[ben3] ,册[ce4] ,部[bu4]; see also Book of History",本,我有书。,私は本を持っています。,I have a book.,我喜欢看书，特别是故事书。,私は本を読むのが好きで、特に物語の本が好きです。
98,水,shuǐ,water; river; liquid; beverage,水,我要水。,私は水が欲しいです。,I want water.,请给我一杯水，我很渴。,水を一杯ください、とても喉が渇いています。
99,水果,shuǐguǒ,fruit,果物,我喜欢水果。,私は果物が好きです。,I like fruit.,水果店里有苹果、香蕉和橙子。,果物屋さんにはリンゴ、バナナ、オレンジがあります。
100,睡觉,shuì jiào,to go to bed; to go to sleep,寝る,我去睡觉。,私は寝に行きます。,I am going to sleep.,我每天晚上十点睡觉，早上六点起床。,私は毎晩10時に寝て、朝6時に起きます。
101,说,shuō,to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory);,話す,我说中文。,私は中国語を話します。,I speak Chinese.,他说中文说得很好。,彼は中国語を上手に話します。
102,四,sì,four; 4,四,我有四本书。,私は本を四冊持っています。,I have four books.,我家有四个人。,私の家には4人います。
103,岁,suì,classifier for years (of age); year; year (of crop harvests),歳,我五岁了。,私は五歳です。,I am five years old.,我妹妹今年五岁。,私の妹は今年5歳です。
104,他,tā,he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another,彼,他是学生。,彼は学生です。,He is a student.,他是我的好朋友。,彼は私の良い友達です。
105,她,tā,she,彼女,她很高兴。,彼女はとても嬉しいです。,She is very happy.,她喜欢看书和听音乐。,彼女は本を読むことと音楽を聴くことが好きです。
106,太,tài,too (much); very; extremely; highest; greatest,とても,天气太热。,天気がとても暑いです。,The weather is too hot.,天气太热了，我们去游泳吧。,天気がとても暑いので、泳ぎに行きましょう。
107,天气,tiān qì,weather,天気,今天天气好。,今日は天気が良いです。,The weather is good today.,今天天气很好，我们去公园。,今日は天気が良いので、公園に行きます。
108,听,tīng,to listen; to hear; to obey; a can (loanword from English 'tin'); classifier for canned beverages,聞く,我听音乐。,私は音楽を聴きます。,I listen to music.,我喜欢听音乐和朋友聊天。,私は音楽を聴いたり友達と話したりするのが好きです。
109,同学,tóng xué,"(fellow) classmate; CL:位[wei4] ,个[ge4]",同級生,他是同学。,彼は同級生です。,He is a classmate.,我的同学明天去学校。,私のクラスメートは明日学校に行きます。
110,喂,wèi,"hello (interj., esp. on telephone); hey",もしもし,喂，你好！,もしもし、こんにちは！,Hello!,喂，你好，请问你是谁？,もしもし、こんにちは。あなたは誰ですか？
111,我,wǒ,I; me; my,私,我是学生。,私は学生です。,I am a student.,我喜欢吃苹果和香蕉。,私はリンゴとバナナを食べるのが好きです。
112,我们,wǒ men,we; us; ourselves; our,私たち,我们去学校。,私たちは学校へ行きます。,We go to school.,我们一起去看电影吧。,私たちは一緒に映画を見に行きましょう。
113,五,wǔ,five; 5,五,我有五个苹果。,私はリンゴを五個持っています。,I have five apples.,我有五本书要看。,私は5冊の本を読む必要があります。
114,喜欢,xǐ huan,to like; to be fond of,好き,我喜欢猫。,私は猫が好きです。,I like cats.,我喜欢学习汉语。,私は中国語を学ぶのが好きです。
115,下,xià,down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down,下,请坐下。,どうぞ座ってください。,Please sit down.,请坐下，我们开始上课。,どうぞ座ってください。授業を始めます。
116,下午,xià wǔ,afternoon; p.m.; CL:个[ge4],午後,下午我学习。,午後に私は勉強します。,I study in the afternoon.,下午三点我们去游泳。,午後3時に私たちは泳ぎに行きます。
117,下雨,xià yǔ,to rain; rainy,雨が降る,今天下雨了。,今日は雨が降りました。,It rained today.,下雨了，我们回家吧。,雨が降っています。家に帰りましょう。
118,先生,xiān sheng,"Mister (Mr.); husband; doctor (topolect); teacher; CL:个[ge4] ,位[wei4]",～さん,王先生好。,王さん、こんにちは。,"Hello, Mr. Wang.",王先生是我的老师。,王先生は私の先生です。
119,现在,xiàn zài,now; at present; at the moment; modern; current; nowadays,今,现在几点？,今何時ですか？,What time is it now?,现在几点了？,今何時ですか？
120,想,xiǎng,to think; to believe; to suppose; to wish; to want; to miss,思う,我想吃饭。,私はご飯を食べたいです。,I want to eat.,我想喝水，你呢？,私は水を飲みたいです。あなたは？
121,小,xiǎo,small; tiny; young,小さい,我有小狗。,私は子犬を飼っています。,I have a puppy.,我有一个小狗，很可爱。,私は小さな犬を飼っています。とてもかわいいです。
122,小姐,xiǎo jie,"young lady; Miss; (slang) prostitute; CL:个[ge4] ,位[wei4]",小姐,小姐，你好。,小姐、こんにちは。,"Hello, miss.",小姐，你好，请问这里是学校吗？,小姐、こんにちは。ここは学校ですか？
123,些,xiē,some; few; several; (a measure word),いくつか,我有些书。,私はいくつか本を持っています。,I have some books.,我买了一些水果和蔬菜。,私はいくつかの果物と野菜を買いました。
124,写,xiě,to write,書く,我写汉字。,私は漢字を書きます。,I write Chinese characters.,请你写你的名字。,あなたの名前を書いてください。
125,谢谢,xiè xie,to thank; thanks,ありがとう,谢谢你！,ありがとうございます！,Thank you!,谢谢你的帮助！,助けてくれてありがとう！
126,星期,xīng qī,week; CL:个[ge4],週,今天星期一。,今日は月曜日です。,Today is Monday.,今天是星期三，我们去图书馆。,今日は水曜日です。私たちは図書館に行きます。
127,学生,xué sheng,student; school child,学生,我是学生。,私は学生です。,I am a student.,他是一个好学生。,彼は良い学生です。
128,学习,xué xí,to learn; to study,勉強する,我学习汉语。,私は中国語を勉強します。,I study Chinese.,我每天学习两个小时中文。,私は毎日2時間中国語を勉強します。
129,学校,xué xiào,school; CL:所[suo3],学校,我去学校。,私は学校へ行きます。,I go to school.,学校里有很多学生。,学校にはたくさんの学生がいます。
130,一,yī,one; 1; single; a (article); as soon as; entire; whole; all; throughout; 'one' radical in Chinese characters (Kangxi radical 1),一,我有一本书。,私は本を一冊持っています。,I have one book.,我有一个苹果。,私はリンゴを1つ持っています。
131,一点儿,yī diǎn er,a little (bit),少し,我想喝一点儿水。,私は少し水を飲みたいです。,I want to drink a little water.,请给我一点儿水。,少し水をください。
132,医生,yī shēng,"doctor; CL:个[ge4] ,位[wei4] ,名[ming2]",医者,他是医生。,彼は医者です。,He is a doctor.,医生说我需要休息。,医者は私に休むように言いました。
133,医院,yī yuàn,"hospital; CL:所[suo3] ,家[jia1] ,座[zuo4]",病院,我去医院。,私は病院へ行きます。,I go to the hospital.,医院离这里很近。,病院はここからとても近いです。
134,衣服,yī fu,"clothes; CL:件[jian4] ,套[tao4]",服,我买衣服。,私は服を買います。,I buy clothes.,我买了新的衣服。,私は新しい服を買いました。
135,椅子,yǐ zi,"chair; CL:把[ba3] ,套[tao4]",椅子,这有椅子。,ここに椅子があります。,There is a chair here.,椅子上有一本书。,椅子の上に本が1冊あります。
136,有,yǒu,to have; there is; there are; to exist; to be,ある,我有猫。,私は猫を飼っています。,I have a cat.,我有三个朋友来我家。,友達3人が私の家に来ました。
137,月,yuè,"month; moon; CL:个[ge4] ,轮[lun2]",月,今天是五月。,今日は五月です。,It is May today.,今年的五月很热。,今年の5月はとても暑いです。
138,再见,zài jiàn,goodbye; see you again later,さようなら,再见！明天见。,さようなら！また明日。,Goodbye! See you tomorrow.,再见，明天见！,さようなら、また明日会いましょう！
139,在,zài,(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress),〜にいる,我在家。,私は家にいます。,I am at home.,我在学校学习中文。,私は学校で中国語を勉強しています。
140,怎么,zěn me,how?; what?; why?,どうやって,你怎么去？,あなたはどうやって行きますか？,How do you go?,你怎么去学校？,あなたはどうやって学校に行きますか？
141,怎么样,zěn me yàng,how are things? how?; how about?; how was it?,どうですか,天气怎么样？,天気はどうですか？,How is the weather?,今天的天气怎么样？,今日の天気はどうですか？
142,这,zhè,"this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing);",これ,这是我的书。,これは私の本です。,This is my book.,这是我的书，请拿好。,これは私の本です。しっかり持ってください。
143,中国,zhōng guó,China; Middle Kingdom,中国,我爱中国。,私は中国が大好きです。,I love China.,我喜欢中国的文化。,私は中国の文化が好きです。
144,中午,zhōng wǔ,noon; midday; CL:个[ge4],正午,中午吃饭。,昼にご飯を食べます。,Eat lunch.,中午我们一起吃饭。,正午に一緒に食事をします。
145,住,zhù,to live; to dwell; to stay; to reside; to stop,住む,我住北京。,私は北京に住んでいます。,I live in Beijing.,我住在北京。,私は北京に住んでいます。
146,桌子,zhuō zi,"table; desk; CL:张[zhang1] ,套[tao4]",机,桌子上有书。,机の上に本があります。,There is a book on the table.,桌子上有一支笔。,机の上にペンが1本あります。
147,字,zì,letter; character; word; symbol; CL:个[ge4],字,我会写字。,私は字を書くことができます。,I can write characters.,我会写很多汉字。,私はたくさんの漢字を書くことができます。
148,昨天,zuó tiān,yesterday,昨日,昨天很冷。,昨日はとても寒かったです。,It was very cold yesterday.,昨天我去公园玩了。,昨日私は公園で遊びました。
149,做,zuò,to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance,する,我做作业。,私は宿題をします。,I do homework.,我喜欢做饭和运动。,私は料理と運動が好きです。
150,坐,zuò,"to sit; to take a seat; to take (a bus, airplane etc); to bear fruit",座る,请坐这里。,ここに座ってください。,Please sit here.,请坐，老师来了。,どうぞ座ってください、先生が来ました。
