No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
11,出,chū,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc",出る,他出门了。,彼は出かけました。,He has gone out.,他已经出去了，应该很快回来。,彼はもう出かけました、すぐに戻るはずです。
12,穿,chuān,to wear; to put on; to dress; to bore through; pierce; perforate; penetrate; pass through; to thread,着る,我穿新衣。,私は新しい服を着ます。,I wear new clothes.,今天我穿了一件蓝色的衬衫。,今日は青いシャツを着ています。
13,次,cì,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",回,我去三次。,私は3回行きました。,I went three times.,我去过北京两次，感觉很好。,私は北京に2回行ったことがあり、感じが良かったです。
14,从,cóng,from; via; passing through; through,〜から,他从学校来。,彼は学校から来ました。,He came from school.,从学校到家只有十分钟的路程。,学校から家までわずか10分の距離です。
15,错,cuò,mistake; error; blunder; fault; cross; uneven; wrong; CL:个,間違い,这个答案错了。,この答えは間違っています。,This answer is wrong.,对不起，我做错了，不应该这样。,すみません、間違えました、そうすべきではありませんでした。
16,打篮球,dǎ lán qiú,play basketball,バスケをする,我们打篮球。,私たちはバスケットボールをします。,We play basketball.,周末我和朋友一起打篮球。,週末に友達と一緒にバスケットボールをします。
17,大家,dà jiā,everyone,みんな,大家好！,みなさん、こんにちは！,Hello everyone!,大家请坐好，会议马上开始。,皆さん、座ってください。会議はすぐに始まります。
18,到,dào,to (a place); until (a time); up to; to go; to arrive,〜へ,我到家了。,私は家に着きました。,I have arrived home.,我明天到北京去参加会议。,私は明日北京に会議に参加しに行きます。
19,得,de,"structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc;",〜する,他说得好。,彼の話し方は上手です。,He speaks well.,他跑得很快，是班里第一名。,彼は走るのがとても速く、クラスで一番です。
20,等,děng,to wait for; to await; class (grade); et cetera; and so on; et al. (and other authors); after; as soon as; once;,待つ,我等你。,私はあなたを待ちます。,I wait for you.,我们在这里等你，不要着急。,私たちはここであなたを待っています、慌てないでください。
21,弟弟,dì di,"younger brother; CL:个,位[wei4]",弟,我有一个弟弟。,私は弟が一人います。,I have a younger brother.,我的弟弟今年九岁，正在上小学。,私の弟は今年9歳で、小学校に通っています。
22,第一,dì yī,first; number one,第一,他是第一名。,彼は一番です。,He is number one.,他是我们班的第一名，很努力学习。,彼は私たちのクラスの一番で、一生懸命勉強しています。
23,懂,dǒng,to understand; to know,わかる,我懂汉语。,私は中国語がわかります。,I understand Chinese.,我懂一点儿中文，还需要学习。,私は少し中国語がわかりますが、まだ勉強が必要です。
24,对,duì,towards; at; for,正しい,你的答案对。,あなたの答えは正しいです。,Your answer is correct.,你说得对，我们应该早点出发。,あなたの言う通りです、私たちは早く出発すべきです。
25,对,duì,right; correct,〜に対して,我对你说。,私はあなたに話します。,I speak to you.,对这个问题，我有不同的看法。,この問題について、私は違う考えを持っています。
26,房间,fáng jiān,room; CL:间[jian1],部屋,我的房间大。,私の部屋は広いです。,My room is big.,我的房间很小，但是很整洁。,私の部屋は小さいですが、とてもきれいです。
27,非常,fēi cháng,extraordinary; unusual; extreme; very; exceptional,非常に,天气非常好。,天気はとても良いです。,The weather is very good.,今天的天气非常好，适合出去玩。,今日の天気はとても良くて、外出に適しています。
28,服务员,fú wù yuán,waiter; waitress; attendant; customer service personnel; CL:个,店員,服务员来了。,店員が来ました。,The waiter came.,服务员，请给我一杯水，谢谢！,店員さん、水を一杯ください、ありがとうございます。
29,高,gāo,high; tall; above average; loud; your (honorific); surname Gao,高い,他很高。,彼はとても背が高いです。,He is very tall.,他比我高，所以很容易找到他。,彼は私より背が高いので、見つけやすいです。
30,告诉,gào su,to tell; to inform; to let know,伝える,我告诉他。,私は彼に伝えます。,I tell him.,请告诉我你的电话号码，好吗？,あなたの電話番号を教えてください、いいですか？
31,哥哥,gē ge,"older brother; CL:个,位[wei4]",兄,哥哥很帅。,兄はとてもかっこいいです。,My older brother is very handsome.,哥哥在大学学习数学，很努力。,兄は大学で数学を勉強していて、一生懸命です。
32,给,gěi,to (someone); for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle),〜に,给我一本书。,私に一冊の本をください。,Give me a book.,请把这本书给我，我要看一看。,この本を私にください、ちょっと見たいです。
33,公共汽车,gōng gòng qì chē,"bus; CL:辆[liang4] ,班[ban1]",バス,我坐公共汽车。,私はバスに乗ります。,I take the bus.,我每天坐公共汽车去公司上班。,私は毎日バスに乗って会社に通っています。
34,公司,gōng sī,(business) company; company; firm; corporation; incorporated; CL:家[jia1],会社,我在公司工作。,私は会社で働いています。,I work at a company.,他在一家大公司工作，工资不错。,彼は大きな会社で働いていて、給料は悪くありません。
35,贵,guì,expensive; noble; your (name); precious,高い,这个东西很贵。,この物はとても高いです。,This thing is very expensive.,这家饭店的菜很贵，但是很好吃。,このレストランの料理は高いですが、とても美味しいです。
36,过,guo,(used after a verb) to indicate the completion of an action,〜したことがある,我去过北京。,私は北京に行ったことがあります。,I have been to Beijing.,我去过上海一次，印象非常好。,私は上海に一度行ったことがあり、とても印象が良かったです。
37,孩子,hái zi,child,子供,孩子在玩。,子供が遊んでいます。,The child is playing.,孩子们在公园里开心地玩耍。,子どもたちは公園で楽しく遊んでいます。
38,还,hái,still; yet; even more; still more; also; too; as well,まだ,他还没来。,彼はまだ来ていません。,He hasn't come yet.,我还没吃饭，你呢？,私はまだご飯を食べていませんが、あなたは？
39,好吃,hǎo chī,tasty; delicious,美味しい,这饭很好吃。,このご飯はとても美味しいです。,This meal is very delicious.,这家餐厅的菜非常好吃，推荐你去。,このレストランの料理はとても美味しいので、あなたにおすすめします。
40,黑,hēi,black; dark; abbr. for Heilongjiang 黑龙江 province in northeast China,黒い,他有黑头发。,彼は黒い髪をしています。,He has black hair.,晚上天黑了，我们回家吧。,夜が暗くなったので、家に帰りましょう。
41,红,hóng,red; bonus; popular; revolutionary,赤い,我喜欢红色。,私は赤色が好きです。,I like red.,她喜欢穿红色的衣服，看起来很漂亮。,彼女は赤い服を着るのが好きで、とてもきれいに見えます。
42,火车站,huǒ chē zhàn,train station,駅,火车站很近。,駅はとても近いです。,The train station is very close.,火车站离这里很近，走路五分钟。,駅はここからとても近くて、歩いて5分です。
43,机场,jī chǎng,"airport; airfield; CL:家[jia1] ,处[chu4]",空港,我去机场了。,私は空港に行きました。,I went to the airport.,我们下午去机场接朋友。,私たちは午後に空港へ友達を迎えに行きます。
44,鸡蛋,jī dàn,"(chicken) egg; hen's egg; CL:个,打[da2]",卵,我买鸡蛋。,私は卵を買います。,I buy eggs.,早餐我吃了两个鸡蛋，很有营养。,朝食に卵を2つ食べました、とても栄養があります。
45,件,jiàn,"item; component; classifier for events, things, clothes etc",（衣服などの）着,我买一件衣服。,私は一着の服を買います。,I buy a piece of clothing.,我买了一件新衣服，非常喜欢。,私は新しい服を一着買って、とても気に入っています。
46,教室,jiào shì,classroom; CL:间[jian1],教室,教室里很安静。,教室はとても静かです。,The classroom is very quiet.,教室里有很多同学在认真学习。,教室にはたくさんのクラスメートが真剣に勉強しています。
47,姐姐,jiě jie,older sister; CL:个,姉,姐姐很漂亮。,姉はとても綺麗です。,My older sister is very beautiful.,姐姐每天晚上都帮助我做作业。,姉は毎晩私の宿題を手伝ってくれます。
48,介绍,jiè shào,to present; to introduce; to recommend; to suggest; to let know; to brief,紹介する,我介绍朋友。,私は友達を紹介します。,I introduce a friend.,我来介绍一下我的朋友，他很友好。,私の友達を紹介します、彼はとても親切です。
49,近,jìn,near; close to; approximately,近い,学校很近。,学校はとても近いです。,The school is very close.,学校离家很近，走路只要五分钟。,学校は家からとても近くて、歩いてわずか5分です。
50,进,jìn,"to enter; to advance; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal",入る,请进教室。,教室に入ってください。,Please enter the classroom.,请进，欢迎来到我的家。,どうぞ入ってください、私の家へようこそ。
51,就,jiù,just (emphasis); at once; right away; only; as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning,すぐに,我就去学校。,私は学校に行きます。,I am going to school.,我一到家就开始做作业。,私は家に着くとすぐに宿題を始めます。
52,觉得,jué de,to think; to feel,思う,我觉得很好。,私はとても良いと思います。,I think it's very good.,我觉得今天的天气很好。,私は今日の天気がとてもいいと思います。
53,咖啡,kā fēi,coffee; CL:杯[bei1],コーヒー,我喜欢喝咖啡。,私はコーヒーを飲むのが好きです。,I like drinking coffee.,我每天早上喝一杯咖啡。,私は毎朝コーヒーを一杯飲みます。
54,开始,kāi shǐ,to begin; beginning; to start; initial; CL:个,始める,课开始了。,授業が始まりました。,The class has started.,我们九点开始上课。,私たちは9時に授業を始めます。
55,考试,kǎo shì,exam; CL:次[ci4],試験,明天有考试。,明日、試験があります。,There is an exam tomorrow.,考试很重要，所以我要认真学习。,試験はとても重要なので、一生懸命勉強します。
56,可能,kě néng,might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:个,かもしれない,他可能来。,彼は来るかもしれません。,He might come.,明天可能下雨，我们带伞吧。,明日は雨が降るかもしれません、傘を持って行きましょう。
57,可以,kě yǐ,can; may; possible; able to,できる,我可以帮你。,私はあなたを手伝うことができます。,I can help you.,这里可以用手机支付。,ここでは携帯電話で支払いができます。
58,课,kè,"subject; course; class; lesson; CL:堂[tang2] ,节[jie2] ,门[men2]",授業,今天有三节课。,今日は三時間の授業があります。,There are three classes today.,我每天有四节课。,私は毎日4時間の授業があります。
59,快,kuài,rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant,速い,他跑得快。,彼は速く走ります。,He runs fast.,请你快一点，我们要迟到了。,早くしてください、遅れそうです。
60,快乐,kuài lè,happy; merry,楽しい,我很快乐。,私はとても幸せです。,I am very happy.,祝你生日快乐！,お誕生日おめでとうございます！
61,累,lèi,tired; weary; to strain; to wear out; to work hard,疲れる,我今天很累。,私は今日とても疲れています。,I am very tired today.,我今天很累，想早点睡觉。,今日はとても疲れたので、早く寝たいです。
62,离,lí,to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the eight trigrams of the Book of Changes representing fire (old),離れる,学校离家近。,学校は家から近いです。,The school is close to home.,学校离我家很近。,学校は私の家からとても近いです。
63,两,liǎng,two (quantities); both; ounce; some; a few; tael; weight equal to 50 grams,二つ,我有两本书。,私は二冊の本を持っています。,I have two books.,我有两个苹果和两个橘子。,私はりんごを2つとみかんを2つ持っています。
64,零,líng,zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division),零,现在是零度。,今は零度です。,It is zero degrees now.,今天的温度是零度。,今日の気温は0度です。
65,路,lù,road; path; way; CL:条[tiao2],道,这条路很长。,この道はとても長いです。,This road is very long.,这条路很长，要走一个小时。,この道はとても長く、1時間歩かなければなりません。
66,旅游,lv3 yóu,trip; journey; tourism; travel; tour,旅行,我们去旅游吧。,私たち、旅行に行きましょう。,Let's go on a trip.,我们暑假去旅游了。,私たちは夏休みに旅行に行きました。
67,卖,mài,to sell; to betray; to spare no effort; to show off or flaunt,売る,他卖水果。,彼は果物を売っています。,He sells fruit.,他在市场卖水果。,彼は市場で果物を売っています。
68,慢,màn,slow,遅い,车开得慢。,車はゆっくり走ります。,The car drives slowly.,请你慢慢说，我听不清楚。,ゆっくり話してください、よく聞こえません。
69,忙,máng,busy; hurriedly,忙しい,我很忙。,私は忙しいです。,I am busy.,我这几天很忙，没有时间休息。,私はこの数日とても忙しく、休む時間がありません。
70,每,měi,each; every,毎〜,每天都学习。,毎日勉強します。,I study every day.,我每天早上六点起床。,私は毎朝6時に起きます。
71,妹妹,mèi mei,younger sister; fig. younger woman (esp. girl friend or rival); CL:个,妹,我有一个妹妹。,私は妹が一人います。,I have one younger sister.,我的妹妹很喜欢画画。,私の妹は絵を描くのがとても好きです。
72,门,mén,"gate; doo; gateway; doorway; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technologyr; CL:个, 扇[shan4]",ドア,门开着。,ドアが開いています。,The door is open.,请关门，外面很冷。,ドアを閉めてください、外はとても寒いです。
73,面条,miàn tiáo,noodles,麺,我喜欢面条。,私は麺類が好きです。,I like noodles.,我喜欢吃面条和米饭。,私は麺類とご飯を食べるのが好きです。
74,男,nán,"male; Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; CL:個|个[ge4];",男,他是男学生。,彼は男子学生です。,He is a male student.,那个男学生很聪明。,あの男子学生はとても賢いです。
75,您,nín,you (polite); as opposed to informal you 你[ni3]),あなた（丁寧）,您好！,こんにちは！,Hello!,您好，请问您需要帮助吗？,こんにちは、ご用件をお伺いしてもよろしいですか？
76,牛奶,niú nǎi,"cow's milk; CL:瓶[ping2] ,杯[bei1]",牛乳,我喝牛奶。,私は牛乳を飲みます。,I drink milk.,我每天早上喝一杯牛奶。,私は毎朝牛乳を一杯飲みます。
77,女,nǚ,female; woman; daughter;,女,她是女老师。,彼女は女性の先生です。,She is a female teacher.,那个女孩喜欢唱歌。,あの女の子は歌うのが好きです。
78,旁边,páng biān,lateral; side; to the side; beside,隣,他在我旁边。,彼は私の隣にいます。,He is beside me.,我的教室旁边有一个图书馆。,私の教室の隣に図書館があります。
79,跑步,pǎo bù,to walk quickly; to march; to run,走る,我喜欢跑步。,私は走るのが好きです。,I like running.,我每天早上去公园跑步。,私は毎朝公園でジョギングをします。
80,便宜,pián yi,cheap; inexpensive; small advantages; to let sb off lightly,安い,这很便宜。,これはとても安いです。,This is very cheap.,这件衣服很便宜，只有五十块。,この服はとても安くて、たった50元です。
81,票,piào,ticket; ballot; bank note; person held for ransom; amateur performance of Chinese opera; classifier for shipments and business transactions (topolect); CL:张[Zhang1],切符,我要买票。,私は切符を買いたいです。,I want to buy a ticket.,我买了两张电影票。,私は映画のチケットを2枚買いました。
82,妻子,qī zi,wife; CL:个,妻,他有妻子。,彼には妻がいます。,He has a wife.,他是我的妻子，我们结婚了。,彼女は私の妻です、私たちは結婚しています。
83,起床,qǐ chuáng,to get up,起きる,我六点起床。,私は六時に起きます。,I get up at six o'clock.,我每天六点半起床。,私は毎日6時半に起きます。
84,千,qiān,thousand,千,这里有一千人。,ここには千人います。,There are one thousand people here.,我有一千块钱。,私は1000元持っています。
85,铅笔,qiān bǐ,"(lead) pencil; CL:支[zhi1] ,枝[zhi1] ,杆[gan3]",鉛筆,我用铅笔写字。,私は鉛筆で字を書きます。,I write with a pencil.,请给我一支铅笔。,鉛筆を一本ください。
86,晴,qíng,clear; fine (weather),晴れ,今天很晴。,今日は晴れです。,It is sunny today.,今天天气晴，适合出去玩。,今日は晴れているので、外出に適しています。
87,去年,qù nián,last year,去年,去年我去北京。,去年、私は北京に行きました。,I went to Beijing last year.,去年我去了北京旅游。,去年私は北京に旅行に行きました。
88,让,ràng,to permit; to let sb do sth; to have sb do sthto yield,〜させる,请让我进去。,どうぞ中に入れてください。,Please let me in.,请你让一让，我要过去。,ちょっと道をあけてください、通ります。
89,日,rì,day; day of the month; date; sun; abbr. for 日本 Japan,日,今天是三日。,今日は三日です。,Today is the third day (of the month).,今天是三月三日。,今日は3月3日です。
90,上班,shàng bān,to go to work; to be on duty; to start work; to go to the office,出勤する,我八点上班。,私は八時に出勤します。,I start work at eight o'clock.,我每天早上八点上班。,私は毎朝8時に出勤します。
91,身体,shēn tǐ,(human) body; health; CL:个,体,身体很重要。,健康はとても大切です。,Health is very important.,身体健康很重要。,健康な体がとても大切です。
92,生病,shēng bìng,to fall ill; to sicken,病気になる,他生病了。,彼は病気になりました。,He is sick.,他生病了，所以没来学校。,彼は病気になったので、学校に来ませんでした。
93,生日,shēng rì,birthday; CL:个,誕生日,今天是我生日。,今日は私の誕生日です。,Today is my birthday.,今天是我的生日，我很开心。,今日は私の誕生日で、とても嬉しいです。
94,时间,shí jiān,time; period; CL:段[duan4],時間,我没有时间。,私は時間がありません。,I don't have time.,你有时间帮我吗？,時間がありますか、私を手伝ってくれますか？
95,事情,shì qing,affair; matter; thing; business,こと,这件事情难。,このことは難しいです。,This matter is difficult.,我有很多事情要做。,やらなければならないことがたくさんあります。
96,手表,shǒu biǎo,"wrist watch; CL:块[kuai4] ,只[zhi1] ,个",腕時計,我有一块手表。,私は腕時計を一つ持っています。,I have a watch.,他的手表很漂亮。,彼の腕時計はとても綺麗です。
97,手机,shǒu jī,cell phone; cellular phone; mobile phone; CL:部[bu4],携帯電話,我用手机打电话。,私は携帯電話で電話をかけます。,I make calls with my mobile phone.,我忘了带手机。,携帯電話を持ってくるのを忘れました。
98,说话,shuō huà,to speak; to say; to talk; to gossip; to tell stories; talk; word,話す,他说话很快。,彼は話すのが速いです。,He speaks fast.,请你说话慢一点。,ゆっくり話してください。
99,送,sòng,to deliver; to carry; to give (as a present); to present (with); to see off; to send,送る,我送你礼物。,私はあなたにプレゼントをあげます。,I give you a gift.,我想送你一份礼物。,あなたにプレゼントを送りたいです。
100,虽然…但是…,suī rán …dàn shì …,although…still…; even if…nevertheless...,〜だけど,虽然难，但是学。,難しいけれど、学びます。,"Although it's difficult, I will learn.",虽然天气冷，但是我们去爬山了。,寒いけれども、私たちは山登りに行きました。
101,它,tā,it (inanimate thing or animal),それ,它是我的猫。,それは私の猫です。,It is my cat.,这只狗很可爱，它喜欢玩球。,この犬はとてもかわいくて、ボールで遊ぶのが好きです。
102,踢足球,tī zú qiú,play soccer (football),サッカーをする,我喜欢踢足球。,私はサッカーをするのが好きです。,I like playing soccer.,我周末和朋友一起踢足球。,私は週末に友達と一緒にサッカーをします。
103,题,tí,"topic; problem for discussion; exam question; subject; to inscribe; to mention; surname Ti; CL:个,道[dao4]",問題,这个题很难。,この問題は難しいです。,This question is difficult.,老师给我们布置了很多题目。,先生は私たちにたくさんの問題を出しました。
104,跳舞,tiào wǔ,to dance,踊る,她会跳舞。,彼女は踊ることができます。,She can dance.,她喜欢在晚上跳舞和唱歌。,彼女は夜に踊ったり歌ったりするのが好きです。
105,外,wài,outside; in addition; foreign; external,外,我们去外面。,私たちは外に行きます。,We go outside.,外面天气很好，我们去散步吧。,外は天気が良いので、散歩に行きましょう。
106,完,wán,to finish; to be over; whole; complete; entire,終わる,我写完作业。,私は宿題を書き終えました。,I finished writing my homework.,我已经完成了今天的作业。,私はもう今日の宿題を終えました。
107,玩,wán,to play; toy; sth used for amusement; curio or antique (Taiwan pr. wan4); to have fun; to trifle with; to keep sth for entertainment,遊ぶ,孩子们在玩。,子供たちが遊んでいます。,The children are playing.,孩子们在公园里玩得很开心。,子どもたちは公園でとても楽しく遊んでいます。
108,晚上,wǎn shang,in the evening; CL:个,夜,晚上很安静。,夜はとても静かです。,It is very quiet at night.,我们晚上去饭店吃饭，好吗？,私たちは夜にレストランに食事に行きますが、いいですか？
109,往,wǎng,to go (in a direction); to; towards; (of a train) bound for; past; previous,〜へ,他往学校走。,彼は学校へ歩いて行きます。,He walks to school.,他往前走，就能看到商店。,彼は前に歩くと、お店が見えます。
110,为什么,wèi shén me,for what reason?; why?,なぜ,你为什么笑？,なぜ笑っているの？,Why are you laughing?,你为什么不来上课？,あなたはなぜ授業に来なかったのですか？
111,问,wèn,to ask,尋ねる,我想问你。,あなたに聞きたいことがあります。,I want to ask you.,我想问你一个问题，可以吗？,あなたに質問が一つあります、いいですか？
112,问题,wèn tí,question; problem; issue; topic; CL:个,質問,老师有问题。,先生は質問があります。,The teacher has a question.,请大家认真回答问题。,みんな問題に真剣に答えてください。
113,希望,xī wàng,to wish for; to desire; hope CL:个,希望,我希望成功。,私は成功したいです。,I hope to succeed.,我希望明天天气会更好。,私は明日の天気がもっと良くなることを望んでいます。
114,西瓜,xī guā,watermelon; CL:条[tiao2],スイカ,我吃西瓜。,私はスイカを食べます。,I eat watermelon.,夏天吃西瓜又甜又凉快。,夏はスイカを食べると甘くて涼しいです。
115,洗,xǐ,to wash; to bathe,洗う,请洗手。,手を洗ってください。,Please wash your hands.,请你先洗手，然后吃饭。,まず手を洗ってから食事をしてください。
116,小时,xiǎo shí,hour; CL:个,時間（時）,我睡了两小时。,私は2時間寝ました。,I slept for two hours.,我每天学习汉语两个小时。,私は毎日2時間中国語を勉強しています。
117,笑,xiào,laugh; smile; CL:个,笑う,他笑得很开心。,彼はとても楽しそうに笑っています。,He is laughing happily.,听了他的笑话，大家都笑了。,彼のジョークを聞いて、みんな笑いました。
118,新,xīn,new; newly; meso- (chemistry),新しい,我买了新书。,私は新しい本を買いました。,I bought a new book.,我买了一件新衣服，很漂亮。,私は新しい服を一着買いました、とてもきれいです。
119,姓,xìng,family name; surname; name; CL:个,姓,你姓什么？,あなたの姓は何ですか？,What is your surname?,请问，你姓什么？,すみません、お名前は何ですか？
120,休息,xiū xi,rest; to rest,休憩,我们休息一下。,私たちは少し休憩しましょう。,Let's take a break.,工作累了，要记得休息一下。,仕事で疲れたら、休憩することを忘れないでください。
121,雪,xuě,"snow; snowfall; to have the appearance of snow; to wipe away, off or out; to clean CL:场[chang2]",雪,冬天下雪了。,冬に雪が降りました。,It snowed in winter.,冬天的时候，外面常常下雪。,冬には外でよく雪が降ります。
122,颜色,yán sè,color; CL:个,色,我喜欢这个颜色。,私はこの色が好きです。,I like this color.,你喜欢什么颜色的衣服？,あなたはどんな色の服が好きですか？
123,眼睛,yǎn jing,"eye; CL:只[zhi1] ,双[shuang1]",目,她有大眼睛。,彼女は大きな目をしています。,She has big eyes.,她有一双漂亮的大眼睛。,彼女はきれいな大きな目をしています。
124,羊肉,yáng ròu,mutton,羊肉,我爱吃羊肉。,私は羊肉を食べるのが好きです。,I love eating lamb.,我不喜欢吃羊肉，觉得味道重。,私は羊肉を食べるのが好きではなく、味が濃いと思います。
125,药,yào,"medicine; drug; cure; CL:种[zhong3] ,服[fu4]",薬,医生给我药。,医者は私に薬をくれました。,The doctor gave me medicine.,生病了，要及时吃药和休息。,病気になったら、すぐに薬を飲んで休むべきです。
126,要,yào,to want; will; going to (as future auxiliary); important; vital; may; must,欲しい、〜するつもり,我要喝水。,私は水を飲みたいです。,I want to drink water.,我今天要去超市买东西。,私は今日スーパーに買い物に行きます。
127,也,yě,also; too; (in classical Chinese) final particle serving as copula,〜も,我也去。,私も行きます。,I will go too.,我喜欢看电影，也喜欢听音乐。,私は映画を見るのも好きだし、音楽を聴くのも好きです。
128,一下,yī xià,(used after a verb) give it a go; to do (sth for a bit to give it a try); one time; once; in a while; all of a sudden; all at once;,ちょっと,等我一下。,ちょっと待ってください。,Wait for me a moment.,请你等我一下，我马上回来。,少し待っていてください、すぐ戻ります。
129,已经,yǐ jīng,already,すでに,我已经吃了。,私はもう食べました。,I have already eaten.,我已经吃过晚饭了，谢谢。,私はもう夕食を食べました、ありがとう。
130,一起,yī qǐ,together; in the same place; with; altogether (in total),一緒に,我们一起学习。,私たちは一緒に勉強します。,We study together.,我们明天一起去公园玩吧。,明日一緒に公園に遊びに行きましょう。
131,意思,yì si,idea; opinion; meaning; wish; desire; CL:个,意味,这个词什么意思？,この単語はどういう意味ですか？,What does this word mean?,这个词的意思我不太懂。,この単語の意味があまりわかりません。
132,因为…所以…,yīn wèi …suǒ yǐ …,because… thus…; on account of…then…,なぜなら〜だから,因为下雨，所以停课。,雨が降ったので授業が休みになりました。,"Because it rained, classes were canceled.",因为下雨了，所以我们不去爬山。,雨が降っているので、私たちは山登りに行きません。
133,阴,yīn,overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia,陰（曇り）,今天阴天。,今日は曇りです。,Today is cloudy.,今天天气阴，没有太阳。,今日は天気が曇りで、太陽がありません。
134,游泳,yóu yǒng,swim,泳ぐ,我喜欢游泳。,私は泳ぐのが好きです。,I like swimming.,我喜欢夏天去游泳和晒太阳。,私は夏に泳ぎに行ったり日光浴をするのが好きです。
135,右边,yòu bian,"right side; right, to the right",右側,书在右边。,本は右側にあります。,The book is on the right.,学校的右边有一个大商场。,学校の右側に大きなショッピングモールがあります。
136,鱼,yú,"fish; CL:条[tiao2] ,尾[wei3]",魚,我吃鱼。,私は魚を食べます。,I eat fish.,河里有很多鱼在游来游去。,川にはたくさんの魚が泳いでいます。
137,远,yuǎn,far; distant; remote,遠い,学校很远。,学校はとても遠いです。,The school is very far.,我家离学校很远，要坐车去。,私の家は学校から遠くて、バスに乗らなければなりません。
138,运动,yùn dòng,movement; campaign; sports; CL:场[chang3],運動,运动对身体好。,運動は体に良いです。,Exercise is good for the body.,每天运动对身体有好处。,毎日運動することは体に良いです。
139,再,zài,"again; once more; re-; second; another; then (after sth, and not until then)",〜するまた,我再说一次。,もう一度言います。,I will say it again.,请你再说一遍，我没听清楚。,もう一度言ってください、よく聞き取れませんでした。
140,早上,zǎo shang,early morning; Good morning!; CL:个,朝,早上我跑步。,朝、私はジョギングをします。,I run in the morning.,我早上七点起床去学校。,私は朝7時に起きて学校に行きます。
141,丈夫,zhàng fu,husband; CL:个,夫,她的丈夫很好。,彼女の夫はとても良い人です。,Her husband is very nice.,她的丈夫是一名医生。,彼女の夫は医者です。
142,找,zhǎo,to try to find; to look for; to call on sb; to find; to seek; to return; to give change,探す,我找我的书。,私は自分の本を探しています。,I am looking for my book.,我在找我的手机，你看见了吗？,私は携帯電話を探しています、見ませんでしたか？
