No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
11,案件,àn jiàn,"law case; legal case; judicial case; CL:宗[zong1] ,桩[zhuang1] ,起[qi3]",事件,警方调查重大案件。,警察は重大事件を捜査している。,The police are investigating a major case.,警方正在全力调查这起复杂的经济案件，希望早日破案。,警察はこの複雑な経済事件の全力調査を進めており、一刻も早い解決を望んでいる。
12,案例,àn lì,case (law); CL:个,事例,这个案例很典型。,このケースはとても典型的だ。,This case is very typical.,这起典型的案例为法律实践提供了宝贵的参考依据。,この典型的なケースは法律実務に貴重な参考資料を提供した。
13,昂贵,áng guì,expensive; costly,高価,这款手机价格昂贵。,このスマホは価格が高価だ。,This phone is expensive.,由于材料昂贵，这款高端手机的售价远高于市场平均水平。,材料が高価なため、この高級スマートフォンの価格は市場の平均を大きく上回っている。
14,凹凸,āo tū,bumpy; uneven; slotted and tabbed joint; crenelation,凹凸,路面凹凸不平。,道路の路面はでこぼこしている。,The road surface is uneven.,这条道路因为地形凹凸不平，行驶起来非常颠簸。,この道路は地形が凹凸しているため、走行すると非常に揺れる。
15,熬,áo,(of cooking) to boil for a long time; to endure; to suffer,耐える,他熬过了漫长夜。,彼は長い夜を耐え抜いた。,He endured the long night.,他为了完成项目，经常熬夜加班，身体状况逐渐恶化。,彼はプロジェクトを完成させるために、よく夜更かしで残業し、体調が徐々に悪化している。
16,奥秘,ào mì,profound mystery,奥義,宇宙充满奥秘。,宇宙は謎に満ちている。,The universe is full of mysteries.,宇宙的奥秘吸引着无数科学家不断探索和研究。,宇宙の奥深さは無数の科学者を惹きつけ、絶えず探求と研究を促している。
17,巴不得,bā bù dé,to be eager for; to long for; to look forward to,ぜひ～したい,我巴不得马上见你。,私はすぐにあなたに会いたくてたまらない。,I can't wait to see you immediately.,我巴不得明天就能收到那份期待已久的录取通知书。,私は明日、待ち望んでいた合格通知を受け取れることを切望している。
18,巴结,bā jie,to fawn on; to curry favor with; to make up to,へつらう,他不喜欢巴结领导。,彼は上司に媚びるのが好きではない。,He doesn't like to flatter the boss.,为了获得领导的青睐，他经常刻意巴结上司，令同事反感。,リーダーの好意を得るために、彼はしばしば意図的に上司に媚びへつらい、同僚の反感を買っている。
19,扒,bā,to hold on to; to cling to; to dig up; to rake; to push aside; to climb; to pull out; to strip off,剥ぐ,他扒掉了旧涂料。,彼は古い塗料を剥がした。,He peeled off the old paint.,他用力扒开车门，试图救出被困在车内的乘客。,彼は力を込めて車のドアをこじ開け、車内に閉じ込められた乗客を救おうとした。
20,疤,bā,scar,傷痕,脸上有一道疤。,顔に一本の傷がある。,There is a scar on the face.,事故后，他脸上的疤痕成为了他坚强和勇敢的象征。,事故の後、彼の顔の傷跡は彼の強さと勇気の象徴となった。
21,拔苗助长,bá miáo zhù zhǎng,to spoil things through excessive enthusiasm (idiom),焦らす,拔苗助长只会失败。,苗を引っ張って成長を助けるのは失敗するだけだ。,Pulling up seedlings to help them grow will only lead to failure.,教育不能拔苗助长，否则只会适得其反，影响学生的成长。,教育は焦って結果を急いではいけない。そうしなければ逆効果となり、生徒の成長に悪影響を与えるだけだ。
22,把关,bǎ guān,to guard a pass; to check on sth,関所を守る,质检部门严格把关。,品質検査部門は厳しくチェックしている。,The quality inspection department strictly controls the standards.,海关工作人员严格把关，防止危险品被非法携带入境。,税関職員は厳重に検査を行い、危険物が不法に持ち込まれるのを防いでいる。
23,把手,bǎ shǒu,handle; grip; knob,取っ手,门把手坏了。,ドアの取っ手が壊れた。,The door handle is broken.,他不小心被刀割伤了手，把手上的伤口及时包扎起来。,彼は不注意で手をナイフで切ってしまい、すぐに傷口を包帯で巻いた。
24,罢工,bà gōng,a strike; to go on strike,ストライキ,工人们举行罢工。,労働者たちはストライキを行った。,The workers held a strike.,工人们发起罢工，要求改善工作条件和提高工资待遇。,労働者たちはストライキを起こし、労働条件の改善と賃金の引き上げを求めた。
25,霸道,bà dào,"overbearing; tyranny; (of liquor, medicine etc) strong; potent; the Way of the Hegemon, abbr. of 霸王之道; despotic rule; rule by might; evil as opposed to the Way of the King 王道;",横暴,他的态度很霸道。,彼の態度はとても横柄だ。,His attitude is very domineering.,他的做法过于霸道，导致团队内部产生了矛盾和不满。,彼のやり方はあまりにも横暴で、チーム内に対立と不満を生んだ。
26,掰,bāi,to break with both hands,折る,她掰断了树枝。,彼女は枝を折った。,She broke the branch.,她用力掰开那块坚硬的面包，准备与大家分享。,彼女は力を込めて固いパンを割り、みんなと分け合う準備をした。
27,摆脱,bǎi tuō,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself,脱する,终于摆脱了困境。,ついに困難から抜け出した。,Finally got rid of the predicament.,经过不断努力，他终于摆脱了贫困，过上了幸福的生活。,絶え間ない努力の末、彼はついに貧困から抜け出し、幸せな生活を送っている。
28,拜访,bài fǎng,pay a visit; call on,訪問する,我明天去拜访老师。,私は明日先生を訪問する。,I will visit the teacher tomorrow.,节日期间，他特地拜访了多年未见的老朋友，增进感情。,祝日の間に、彼はわざわざ何年も会っていなかった旧友を訪ね、親交を深めた。
29,拜年,bài nián,pay a New Year call; wish sb a Happy New Year,年賀訪問,春节时大家互相拜年。,春節の時、皆がお互いに新年の挨拶をする。,"During the Spring Festival, everyone greets each other for the New Year.",春节时，孩子们穿上新衣服，挨家挨户地拜年讨红包。,春節の時、子供たちは新しい服を着て、一軒一軒年始の挨拶に回りお年玉をもらった。
30,拜托,bài tuō,request sb to do sth; please!,お願いする,拜托你帮我一下。,お願いだからちょっと手伝って。,Please help me out.,这件事情拜托你帮忙处理，我相信你的能力和经验。,この件はあなたにお願いして処理してもらいたい。あなたの能力と経験を信頼している。
31,败坏,bài huài,to ruin; to corrupt; to undermine,堕落させる,坏习惯败坏人品。,悪い習慣は人の品性を損なう。,Bad habits ruin a person's character.,他的不良行为严重败坏了公司的声誉，导致客户流失。,彼の悪行は会社の評判を著しく損ない、顧客の離反を招いた。
32,斑,bān,spot; colored patch; stripe; spotted; striped; variegated;,斑点,豹身上有斑。,ヒョウの体には斑点がある。,The leopard's body has spots.,这匹马身上有明显的斑纹，十分容易辨认。,この馬の体にははっきりした斑点があり、とても識別しやすい。
33,颁布,bān bù,"to issue; to proclaim; to enact (laws, decrees etc)",公布,新政策已颁布。,新しい政策がすでに公布された。,The new policy has been promulgated.,新法律的颁布标志着社会治理进入了一个新的阶段。,新しい法律の公布は社会統治が新たな段階に入ったことを示している。
34,颁发,bān fā,to issue; to promulgate; to award,授与,学校颁发奖学金。,学校は奨学金を授与する。,The school awards scholarships.,学校将于下周颁发毕业证书，表彰优秀的毕业生。,学校は来週卒業証書を授与し、優秀な卒業生を表彰する予定だ。
35,版本,bǎn běn,version; edition; release,版,这个版本更稳定。,このバージョンはより安定している。,This version is more stable.,这本书的最新版本增加了许多实用的案例和详细的解释。,この本の最新版には多くの実用的なケースと詳細な解説が追加された。
36,伴侣,bàn lv3,partner; companion; mate,伴侶,他找到了伴侣。,彼は伴侶を見つけた。,He found a partner.,他们作为伴侣共同面对生活中的各种挑战，互相支持。,彼らはパートナーとして共に生活の様々な挑戦に立ち向かい、互いに支え合っている。
37,伴随,bàn suí,to accompany; to follow; to occur together with; attendant,伴う,成功伴随着努力。,成功は努力を伴う。,Success is accompanied by effort.,科技的发展伴随了人类社会的进步和生活方式的改变。,科学技術の発展は人類社会の進歩と生活様式の変化を伴っている。
38,半途而废,bàn tú ér fèi,to give up halfway (idiom); leave sth unfinished,途中放棄,不要半途而废。,途中で投げ出してはいけない。,Don't give up halfway.,学习任何技能都不能半途而废，否则很难取得真正的成就。,どんな技術の学習も途中で投げ出してはいけない。そうでなければ本当の成果を得るのは難しい。
39,扮演,bàn yǎn,play the part of; act,演じる,她扮演重要角色。,彼女は重要な役割を演じている。,She plays an important role.,他在电影中扮演了一个复杂多面的角色，获得了观众的好评。,彼は映画で複雑で多面的な役を演じ、観客から好評を得た。
40,榜样,bǎng yàng,example; model; CL:个,模範,他是大家的榜样。,彼は皆の模範だ。,He is a role model for everyone.,作为年轻人的榜样，他积极参与公益事业，影响了身边很多人。,若者の模範として、彼は積極的に公益事業に参加し、周囲の多くの人に影響を与えた。
41,绑架,bǎng jià,to kidnap; to abduct; to hijack; a kidnapping; abduction; staking,誘拐,警方阻止绑架事件。,警察は誘拐事件を阻止した。,The police stopped the kidnapping incident.,警方成功破获了一起跨国绑架案件，解救了被害人。,警察は国際的な誘拐事件を成功裏に解決し、被害者を救出した。
42,磅,bàng,"pound (unit of weight, about 454 grams); platform balance;",ポンド,肉重两磅。,肉の重さは2ポンドだ。,The meat weighs two pounds.,这批货物的重量达到了五百磅，需要用叉车进行搬运。,この貨物の重量は500ポンドに達し、フォークリフトでの運搬が必要だ。
43,包庇,bāo bì,to shield; to harbor; to cover up,かばう,他包庇了罪犯。,彼は罪犯をかばった。,He sheltered the criminal.,他为了保护朋友的过错，选择了包庇，结果被警方发现了真相。,彼は友人の過ちをかばうことを選んだが、結果的に警察に真相が暴かれた。
44,包袱,bāo fu,cloth-wrapper; a bundle wrapped in cloth; load; weight; burden,荷物,行李包袱很重。,荷物のかばんはとても重い。,The luggage bag is very heavy.,尽管生活压力很大，他依然背负着家庭的包袱，努力工作。,生活のプレッシャーが大きくても、彼は家族の重荷を背負いながら懸命に働いている。
45,包围,bāo wéi,to surround; to encircle; to hem in,包囲,敌军包围了城市。,敵軍は都市を包囲した。,The enemy army surrounded the city.,敌军迅速包围了这座城市，使守军陷入困境。,敵軍は迅速にこの都市を包囲し、守備隊を困難な状況に追い込んだ。
46,包装,bāo zhuāng,package; pack,包装,产品包装很精美。,製品の包装はとても精巧だ。,The product packaging is very exquisite.,产品包装设计不仅要美观，还要实用和环保。,製品の包装デザインは美しいだけでなく、実用的で環境にも優しくなければならない。
47,保管,bǎo guǎn,to assure; to guarantee; to take care of; to safeguard; certainly; surely,保管,请保管好证件。,証明書をしっかり保管してください。,Please keep your documents safe.,请您保管好贵重物品，避免遗失或被盗。,貴重品はしっかり管理し、紛失や盗難を避けてください。
48,保密,bǎo mì,to keep sth confidential; to maintain secrecy,秘密保持,公司要求保密。,会社は秘密保持を要求している。,The company requires confidentiality.,为了保护客户隐私，公司对所有信息实行严格的保密制度。,顧客のプライバシーを守るために、会社はすべての情報に対して厳格な秘密保持制度を実施している。
49,保姆,bǎo mǔ,nanny; housekeeper,保母,保姆照顾小孩。,ベビーシッターが子供の世話をする。,The nanny takes care of the child.,年迈的老人需要一位可靠的保姆来照顾日常生活起居。,高齢の老人は日常生活の世話をする信頼できる保姆を必要としている。
50,保守,bǎo shǒu,(politically) conservative; to guard; to keep,保守的,他思想很保守。,彼は考え方がとても保守的だ。,He has very conservative thinking.,他在政治观点上非常保守，反对一切激进的改革措施。,彼は政治的な見解において非常に保守的で、あらゆる急進的な改革措置に反対している。
51,保卫,bǎo wèi,to defend; to safeguard,防衛,军队誓死保卫国家。,軍隊は国を死守することを誓う。,The army swears to defend the country to the death.,国家必须加强边境的防御力量，以有效保卫领土的完整和安全。,国家は国境の防衛力を強化し、領土の完全性と安全を効果的に守らなければならない。
52,保养,bǎo yǎng,to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance,メンテナンス,汽车定期保养很重要。,車の定期メンテナンスはとても重要だ。,Regular maintenance of cars is very important.,定期保养汽车发动机有助于延长其使用寿命和提高性能表现。,定期的な自動車のエンジンの保養は、その寿命を延ばし性能を向上させるのに役立つ。
53,保障,bǎo zhàng,to ensure; to guarantee; to safeguard,保障,法律保障公民权益。,法律は市民の権利を保障する。,The law protects the rights of citizens.,政府出台多项政策，旨在保障低收入群体的基本生活需求。,政府は低所得層の基本的な生活ニーズを保障することを目的とした複数の政策を打ち出した。
54,保重,bǎo zhòng,to take care of oneself,自愛,出门在外要保重身体。,外出するときは体を大切にしなさい。,Take care of your health when you are away from home.,天气转凉了，出门时一定要注意保重身体，避免感冒。,天気が冷えてきたので、外出するときは必ず体を大切にして風邪をひかないようにしなければならない。
55,饱和,bǎo hé,saturation,飽和,市场已接近饱和状态。,市場はすでに飽和状態に近づいている。,The market is approaching saturation.,市场上的同类产品已经达到饱和状态，竞争异常激烈。,市場の同類製品はすでに飽和状態に達しており、競争は非常に激しい。
56,饱经沧桑,bǎo jīng cāng sāng,having lived through many changes,波乱万丈,他饱经沧桑仍坚强。,彼は多くの苦難を経験してもなお強い。,He remains strong despite having gone through many hardships.,这位老人饱经沧桑，经历了无数的风风雨雨，依然坚强乐观。,この老人は多くの苦難を経験し、数えきれない風雨に耐えてなお強く楽観的である。
57,报酬,bào chou,remuneration; reward,報酬,努力工作应得报酬。,一生懸命働けば報酬を得るべきだ。,Hard work deserves reward.,他为了完成项目付出了很多努力，但最终得到的报酬并不理想。,彼はプロジェクトを完成させるために多くの努力をしたが、最終的に得られた報酬は理想的でなかった。
58,报仇,bào chóu,to revenge (oneself); to avenge,復讐,他誓言为父亲报仇。,彼は父の仇を討つと誓った。,He vowed to avenge his father.,过去的伤害难以忘怀，但报仇只能带来更多的痛苦和仇恨。,過去の傷は忘れがたいが、復讐はさらなる苦痛と憎しみをもたらすだけである。
59,报答,bào dá,to repay; to requite,恩返し,我愿一生报答师恩。,私は一生師恩に報いたい。,I am willing to repay my teacher’s kindness for life.,他始终怀着感恩的心，努力工作以报答父母的养育之恩。,彼は常に感謝の気持ちを抱き、両親の養育の恩に報いるために一生懸命働いている。
60,报复,bào fù,to make reprisals; to retaliate; revenge; retaliation,報復,战争引发无休止报复。,戦争は終わりのない報復を引き起こす。,War triggers endless retaliation.,为了报复对方的不公行为，他策划了一系列的反击行动。,相手の不当な行為に報復するため、彼は一連の反撃行動を企てた。
61,报警,bào jǐng,to report sth to the police; to sound an alarm,通報,发现火情立即报警。,火事を発見したらすぐに通報しなさい。,Report the fire immediately upon discovery.,发现火灾后，他立即拨打报警电话请求消防人员前来救援。,火災を発見すると、すぐに警察に通報して消防隊員の救援を要請した。
62,报销,bào xiāo,submit an expense account; apply for reimbursement; write-off; wipe out,経費精算,出差费用需及时报销。,出張費用は速やかに精算する必要がある。,Business trip expenses need to be reimbursed promptly.,出差期间的所有费用都可以凭发票向公司报销。,出張中のすべての費用は領収書をもって会社に請求できる。
63,抱负,bào fù,aspiration; ambition,志望,他怀有远大抱负。,彼は大きな抱負を抱いている。,He harbors great ambitions.,年轻人应该树立远大的抱负，积极投身于社会建设中。,若者は大きな抱負を抱き、積極的に社会建設に参加すべきである。
64,暴力,bào lì,violence; (use) force; violent,暴力,暴力行为应被制止。,暴力行為は制止されるべきだ。,Violent behavior should be stopped.,暴力解决不了问题，只会导致更严重的后果和社会动荡。,暴力は問題を解決できず、より深刻な結果と社会の混乱を引き起こすだけである。
65,暴露,bào lù,to expose; to reveal; to lay bare,暴露,秘密被媒体暴露了。,秘密がメディアに暴露された。,The secret was exposed by the media.,隐私被暴露后，他的生活陷入了极大的困扰和压力之中。,プライバシーが暴露された後、彼の生活は大きな悩みとプレッシャーに陥った。
66,曝光,bào guāng,exposure (e.g. of photosensitive material); to expose (a scandal to the public),暴露,事件被曝光引关注。,事件が暴露され注目を集めた。,The incident was exposed and attracted attention.,这起丑闻被媒体曝光，引发了公众的广泛关注和讨论。,このスキャンダルはメディアに暴露され、世間の広範な関心と議論を引き起こした。
67,爆发,bào fā,to break out; to erupt; to explode; to burst out,爆発,冲突突然爆发激烈。,衝突が突然激しく爆発した。,The conflict suddenly erupted fiercely.,地震突然爆发，导致大量建筑物倒塌和人员伤亡。,地震が突然発生し、多くの建物が倒壊し人員に死傷者が出た。
68,爆炸,bào zhà,explosion; to explode; to blow up; to detonate,爆発,工厂发生严重爆炸。,工場で重大な爆発が起きた。,A serious explosion occurred at the factory.,工厂发生爆炸事故，消防队迅速赶到现场进行救援。,工場で爆発事故が発生し、消防隊が迅速に現場に駆けつけて救助活動を行った。
69,卑鄙,bēi bǐ,contemptible; despicable; base; mean,卑劣,他的行为十分卑鄙。,彼の行動は非常に卑劣だ。,His behavior is very despicable.,他的行为非常卑鄙，背后陷害同事，令人难以忍受。,彼の行為は非常に卑劣で、同僚を陰で陥れ、我慢できないものだった。
70,悲哀,bēi āi,grieved; sorrowful,悲哀,听闻噩耗心中悲哀。,悪い知らせを聞いて心が悲しんだ。,"Hearing the bad news, my heart was sorrowful.",听到噩耗后，家人们都沉浸在深深的悲哀之中，无法自拔。,悪い知らせを聞いて、家族は深い悲しみに浸り抜け出せなかった。
71,悲惨,bēi cǎn,miserable; tragic,悲惨,战争带来悲惨后果。,戦争は悲惨な結果をもたらす。,War brings tragic consequences.,战争带来了无尽的悲惨，破坏了无数家庭和生命的幸福。,戦争は果てしない悲惨をもたらし、数えきれない家庭と生命の幸福を破壊した。
72,北极,běi jí,the North Pole; the Arctic Pole; the north magnetic pole,北極,北极冰川正在融化。,北極の氷河が溶けている。,The Arctic glaciers are melting.,北极的冰川正在快速融化，全球气候变化问题日益严峻。,北極の氷河は急速に融けており、地球規模の気候変動問題はますます深刻になっている。
73,备份,bèi fèn,backup,バックアップ,重要文件要备份。,重要な書類はバックアップを取るべきだ。,Important documents should be backed up.,为了防止数据丢失，技术人员每天都会对重要文件进行备份。,データの紛失を防ぐため、技術者は毎日重要なファイルのバックアップを取っている。
74,备忘录,bèi wàng lù,memorandum; aide-memoire; memorandum book,メモ,会议记录在备忘录。,会議の記録はメモに残されている。,The meeting minutes are recorded in the memo.,会议结束后，他习惯性地写了一份详细的备忘录以备日后参考。,会議終了後、彼は習慣的に詳細な備忘録を書いて後の参考にしている。
75,背叛,bèi pàn,to betray,裏切り,他背叛了朋友信任。,彼は友人の信頼を裏切った。,He betrayed his friend's trust.,他背叛了朋友的信任，导致双方关系彻底破裂。,彼は友人の信頼を裏切り、双方の関係は完全に破綻した。
76,背诵,bèi sòng,recite; repeat from memory,暗唱,学生背诵古诗词。,学生は古詩を暗唱する。,Students recite ancient poems.,学生们每天坚持背诵古诗词，以提高语言表达能力和文化素养。,学生たちは毎日古詩詞を暗唱し、言語表現能力と文化素養を向上させている。
77,被动,bèi dòng,passive (not taking initiative),受動的,他在团队中被动。,彼はチームの中で受け身だ。,He is passive within the team.,在工作中，他总是被动接受任务，缺乏主动性和创造力。,仕事において、彼はいつも受動的に任務を受け入れ、主体性と創造力に欠けている。
78,被告,bèi gào,defendant,被告,被告出庭接受审判。,被告は法廷に出て裁判を受ける。,The defendant appears in court to face trial.,被告在法庭上坚决否认所有指控，争取自己的合法权益。,被告は法廷で全ての容疑を強く否認し、自分の正当な権利を争った。
79,贝壳,bèi ké,"shell; conch; cowry; mother of pearl; hard outer skin; alternative reading bei4 qiao4, mostly written",貝殻,沙滩上散落贝壳。,砂浜に貝殻が散らばっている。,Shells are scattered on the beach.,海滩上散落着各种颜色和形状各异的贝壳，十分美丽。,海辺には色や形が様々な貝殻が散らばっており、とても美しい。
80,奔波,bēn bō,rush about; be busy running about,奔走,为项目奔波忙碌。,プロジェクトのために奔走して忙しい。,Busy running around for the project.,为了生活奔波劳碌，他每天早出晚归，毫无怨言。,生活のために奔走し、彼は毎日早朝に出て夜遅く帰り、不平を言わない。
81,奔驰,bēn chí,"to run quickly; to travel quickly; to move fast; Mercedes-Benz, German car make",疾走,赛车奔驰在赛道。,レーサーがサーキットを猛スピードで走る。,The racer speeds on the track.,这辆奔驰汽车以其卓越的性能和豪华的设计闻名于世。,このベンツ車は優れた性能と豪華なデザインで世界的に有名である。
82,本能,běn néng,instinct,本能,动物凭本能求生。,動物は本能に従って生き延びる。,Animals survive by instinct.,人的本能反应在紧急情况下能够迅速保护自身安全。,人の本能的な反応は緊急時に素早く自身の安全を守ることができる。
83,本钱,běn qián,capital (finance); assets; means,資本,创业需要足够本钱。,起業には十分な資本が必要だ。,Starting a business requires sufficient capital.,创业需要一定的本钱，但更重要的是坚持和创新精神。,起業には一定の資本金が必要だが、より重要なのは忍耐と革新精神である。
84,本人,běn rén,oneself; I (humble form used in speeches); myself; in person; personal,本人,请本人携带身份证。,本人が身分証を携帯してください。,Please bring your ID card in person.,本人亲自签署了合同，确保了协议的有效性和法律效力。,本人が直接契約書に署名し、契約の有効性と法的効力を確保した。
85,本身,běn shēn,in itself; per se; itself,自身,问题出在本身原因。,問題は本身に原因がある。,The problem lies in itself.,问题的根源在于制度本身的缺陷，需要全面深化改革。,問題の根本は制度そのものの欠陥にあり、全面的な深化改革が必要だ。
86,本事,běn shi,ability; skill; source material; original story,能力,他有很强本事。,彼は非常に強い能力を持っている。,He has very strong skills.,他具有出色的本事，能够独立完成复杂的项目任务。,彼は優れた能力を持っており、複雑なプロジェクトの任務を独立して完遂できる。
87,笨拙,bèn zhuō,clumsy; awkward; stupid,不器用,他的动作显得笨拙。,彼の動作はぎこちなく見える。,His movements appear clumsy.,虽然他笨拙地表达了自己的想法，但真诚打动了大家的心。,彼は不器用に自分の考えを表現したが、その誠実さが皆の心を動かした。
88,崩溃,bēng kuì,to collapse; to crumble; to fall apart,崩壊,心理压力导致崩溃。,心理的なプレッシャーが崩壊を引き起こした。,Psychological pressure led to a breakdown.,在巨大压力下，他的心理终于崩溃，无法继续坚持下去。,大きなプレッシャーの下で、彼の精神はついに崩壊し、続けることができなくなった。
89,甭,béng,need not; (contraction of 不 and 用),不要,这事甭你操心。,このことはあなたが心配する必要はない。,You don’t need to worry about this.,这件事情甭担心，我已经安排妥当，一切都会顺利进行。,この件については心配いらない。私はすでに手配を済ませており、すべて順調に進むだろう。
90,蹦,bèng,to leap; to bounce; to hop; to jump,跳ねる,孩子开心地蹦跳。,子供は嬉しそうに跳ね回っている。,The child is happily jumping around.,孩子们在草地上开心地蹦跳，享受着无忧无虑的童年时光。,子供たちは草地で嬉しそうに跳ね回り、無憂無慮の子供時代を楽しんでいる。
91,迸发,bèng fā,to burst out; to gush; to spurt,噴出,激情迸发难以抑制。,情熱が爆発し抑えられない。,Passion bursts out uncontrollably.,他的激情在演讲中迸发，引发了观众的强烈共鸣和掌声。,彼の情熱はスピーチの中で爆発し、聴衆の強い共感と拍手を呼び起こした。
92,逼迫,bī pò,to force; to compel; to coerce,強要,他逼迫我做决定。,彼は私に決断を強要した。,He forced me to make a decision.,在巨大的压力下，他被迫做出违背自己意愿的决定。,大きなプレッシャーの下で、彼は自身の意思に反する決断を強いられた。
93,鼻涕,bí tì,nasal mucus; snivel,鼻水,感冒时鼻涕不断。,風邪をひくと鼻水が止まらない。,"When having a cold, the nose keeps running.",感冒时鼻涕不断流出，让人非常难受和不便。,風邪をひくと鼻水が止まらず、とても不快で不便である。
94,比方,bǐ fang,instance; example,例え,举个比方说明问题。,問題を説明するために例を挙げる。,Give an example to explain the problem.,举个比方，学习就像种树，需要耐心和时间的积累。,例を挙げると、勉強は木を植えるようなもので、忍耐と時間の積み重ねが必要だ。
95,比喻,bǐ yù,analogy; metaphor; figure of speech; figuratively,比喩,诗中充满生动比喻。,詩は生き生きとした比喩に満ちている。,The poem is full of vivid metaphors.,老师用生动的比喻帮助学生理解复杂的科学原理。,先生は生き生きとした比喩を用いて、学生が複雑な科学原理を理解するのを助けた。
96,比重,bǐ zhòng,proportion; specific gravity,比率,出口比重逐年上升。,輸出の比率は年々上昇している。,The proportion of exports is increasing year by year.,该行业在经济中的比重逐年增加，影响力不断扩大。,この業界は経済における比重が年々増加し、その影響力も拡大している。
97,鄙视,bǐ shì,to despise; to disdain; to look down upon;,軽蔑,他鄙视虚伪行为。,彼は偽りの行為を軽蔑している。,He despises hypocritical behavior.,他鄙视那些只会空谈而不付诸行动的人。,彼は口先だけで行動しない人々を軽蔑している。
98,弊病,bì bìng,malady; evil; malpractice; drawback; disadvantage,弊害,制度存在不少弊病。,制度には多くの弊害が存在する。,The system has many drawbacks.,制度上的弊病严重阻碍了社会的公平与发展。,制度上の弊害は社会の公平と発展を深刻に妨げている。
99,弊端,bì duān,malpractice; abuse; corrupt practice,弊端,改革旨在消除弊端。,改革は弊害を取り除くことを目的としている。,The reform aims to eliminate drawbacks.,必须采取措施根除腐败的弊端，促进社会健康发展。,腐敗の弊端を根絶し、社会の健全な発展を促進するために措置を講じなければならない。
100,臂,bì,arm,腕,他抬起有力的臂膀。,彼は力強い腕を持ち上げた。,He raised his powerful arm.,运动员的臂力非常强大，可以完成高难度的体操动作。,選手の腕力は非常に強く、高難度の体操動作をこなすことができる。
101,闭塞,bì sè,stop up; close up; hard to get to; out of the way; inaccessible; unenlightened; blocking,閉塞,信息闭塞阻碍发展。,情報の閉塞が発展を妨げる。,Information blockage hinders development.,由于信息闭塞，偏远地区的居民很难及时获取外界的最新动态和资源。,情報が遮断されているため、辺鄙な地域の住民は外部の最新の動向や資源をタイムリーに得ることが非常に難しい。
