番号,国旗,中国語の名言・格言,ピンイン,人物名・出典,日本語の解説
32,🇨🇳,巧言令色，鲜矣仁,qiǎo yán lìng sè ， xiān yǐ rén,孔子,言葉巧みで表情を取り繕う者には、思いやりが少ない。表面的な知識だけでなく、本質を深く学ぶことの重要性。
33,🇨🇳,千里之行，始于足下,qiān lǐ zhī xíng ， shǐ yú zú xià,老子,千里の道も一歩から。膨大な単語学習も、まずは一つの単語を覚えることから始まる。
34,🇨🇳,大智若愚,dà zhì ruò yú,老子,大智は愚なるが如し。本当に賢い人は知識をひけらかさない。深く学び、内面を磨くこと。
35,🇨🇳,知人者智，自知者明,zhī rén zhě zhì ， zì zhī zhě míng,老子,他者を知る者は智恵があり、自分を知る者は賢明である。自分の学習の弱点を把握することの重要性。
36,🇨🇳,青出于蓝而胜于蓝,qīng chū yú lán ér shèng yú lán,荀子,青は藍より出でて藍より青し。弟子が師匠を超えること。学習を重ねて教えられた以上の実力を身につけること。
37,🇨🇳,聪明出于勤奋，天才在于积累,cōng míng chū yú qín fèn ， tiān cái zài yú jī lěi,華羅庚（中国の数学者）,賢さは勤勉から生まれ、天才は積み重ねから生まれる。日々の単語学習や努力の蓄積が重要であるという教え。
38,🇨🇳,必须敢于正视，这才可望敢想、敢说、敢做、敢当,bì xū gǎn yú zhèng shì ， zhè cái kě wàng gǎn xiǎng 、 gǎn shuō 、 gǎn zuò 、 gǎn dāng,魯迅（近代中国の文学者）,物事を直視する勇気があってこそ、考え、語り、行動し、責任を持つことができる。学習における積極的な姿勢を促す。
39,🇨🇳,事实胜于雄辩,shì shí shèng yú xióng biàn,魯迅,事実は雄弁に勝る。言葉で語るよりも、実際の学習成果や行動で示すことの重要性。
40,🇨🇳,鞠躬尽瘁,jū gōng jìn cuì,諸葛亮（三国時代の政治家・軍師）,全力を尽くして任務を遂行する。学習に対しても全身全霊で取り組む姿勢。
41,🇨🇳,悬梁刺骨,xuán liáng cì gǔ,中国のことわざ,髪を梁に結び、錐で股を刺して眠気を覚まし勉強する。非常に熱心に学習に取り組むことの例え。
42,🇨🇳,凿壁偷光,záo bì tōu guāng,中国のことわざ,壁に穴を開けて隣の家の光を盗んで本を読む。貧しい環境でも工夫して熱心に学ぶ姿勢。
43,🇨🇳,学以致用,xué yǐ zhì yòng,中国のことわざ,学んだことを実践に生かす。単語や文法を覚えるだけでなく、実際に使ってみることの重要性。
44,🇨🇳,道山学海,dào shān xué hǎi,中国のことわざ,学問の道は山のように高く、海のように広い。学ぶべき知識は無限にあるという教え。
45,🇨🇳,一寸光阴一寸金，寸金难买寸光阴,yī cùn guāng yīn yī cùn jīn ， cùn jīn nán mǎi cùn guāng yīn,中国のことわざ,一寸の光陰は一寸の金、一寸の金でも一寸の光陰は買えない。学習に使える時間を無駄にせず、大切にすること。
46,🇨🇳,光阴似箭,guāng yīn sì jiàn,中国のことわざ,光陰矢の如し。時間はあっという間に過ぎ去るので、学習の時間を大切にすべきだという戒め。
47,🇨🇳,书到用时方恨少,shū dào yòng shí fāng hèn shǎo,中国のことわざ,本は使う時になって初めて少ないことを悔やむ。いざという時に知識が足りなくて困らないよう、日頃から幅広く学習しておくこと。
48,🇨🇳,读书须用意，一字值千金,dú shū xū yòng yì ， yī zì zhí qiān jīn,中国のことわざ,読書には心を注ぐ必要があり、一字には千金の価値がある。単語一つ一つの意味やニュアンスを丁寧に学ぶことの重要性。
49,🇨🇳,好记性不如烂笔头,hǎo jì xìng bù rú làn bǐ tóu,中国のことわざ,良い記憶力も、使い古した筆先には及ばない。単語や文法は、頭で覚えるだけでなく実際に書いて覚えることの重要性。
50,🇨🇳,书是随时携带的花园,shū shì suí shí xié dài de huā yuán,中国のことわざ,本はいつでも持ち歩ける庭園である。読書や学習が人生に豊かさをもたらすことの例え。
51,🇨🇳,好书如挚友,hǎo shū rú zhì yǒu,中国のことわざ,良い本は親友のようである。良質な学習書や教材との出会いを大切にすること。
52,🇨🇳,花有重开日，人无再少年,huā yǒu zhòng kāi rì ， rén wú zài shào nián,中国のことわざ,花は再び咲く日があるが、人に再び少年時代は来ない。若いうちに集中して学習に取り組むべきだという戒め。
53,🇨🇳,为时不晚,wéi shí bù wǎn,中国のことわざ,遅すぎることはない。いつから学習を始めても、決して遅くはないという励まし。
54,🇨🇳,只要功夫深，铁杵磨成针,zhǐ yào gōng fu shēn ， tiě chǔ mó chéng zhēn,中国のことわざ,努力が深ければ、鉄の棒も削って針にできる。どんなに難しい単語や文法でも、継続すれば必ず習得できる。
55,🇨🇳,水滴石穿，绳锯木断,shuǐ dī shí chuān ， shéng jù mù duàn,中国のことわざ,水滴は石を穿ち、縄の鋸は木を断つ。小さな学習の積み重ねが、最終的に大きな成果を生む。
56,🇨🇳,冰冻三尺，非一日之寒,bīng dòng sān chǐ ， fēi yī rì zhī hán,中国のことわざ,氷の厚さが三尺になるのは、一日の寒さによるものではない。語学の習得には長期間の継続的な努力が必要である。
57,🇨🇳,"百尺竿头, 更进一步","bǎi chǐ gān tóu ,  gèng jìn yí bù",中国のことわざ,百尺竿頭に一歩を進む。すでに優れた成績を収めていても、さらに向上を目指して努力すること。
58,🇨🇳,失败是成功之母,shī bài shì chéng gōng zhī mǔ,中国のことわざ,失敗は成功の母。学習での間違いは、上達のための重要なステップである。
59,🇨🇳,吃一堑，长一智,chī yī qiàn ， zhǎng yī zhì,中国のことわざ,一度つまずけば、一つ知恵がつく。学習での失敗や間違いから学び、成長すること。
60,🇨🇳,逆境出人才,nì jìng chū rén cái,中国のことわざ,逆境が人材を生み出す。難しい課題や厳しい環境での学習が、真の実力を育てる。
61,🇨🇳,守得云开见月明,shǒu dé yún kāi jiàn yuè míng,中国のことわざ,雲が晴れて月明かりが見えるのを待つ。困難な学習を耐え抜けば、必ず理解できる瞬間が訪れる。
62,🇨🇳,否极泰来,pǐ jí tài lái,中国のことわざ,悪運が極まれば幸運がやってくる。学習の停滞期（スランプ）を乗り越えれば、必ず成長が実感できる時が来る。
63,🇨🇳,不能一口吃成胖子,bù néng yī kǒu chī chéng pàng zi,中国のことわざ,一口で太ることはできない。語学学習は一朝一夕にはいかないため、焦らず少しずつ進めるべきだという教え。
64,🇨🇳,万事开头难,wàn shì kāi tóu nán,中国のことわざ,何事も始めが難しい。学習の初期段階の困難を乗り越えれば、後はスムーズに進むという励まし。
65,🇨🇳,一日之计在于晨,yī rì zhī jì zài yú chén,中国のことわざ,一日の計は朝にあり。朝の時間を有効に使って学習することの重要性。
66,🇨🇳,趁热打铁,chèn rè dǎ tiě,中国のことわざ,鉄は熱いうちに打て。記憶が新しいうちに復習し、知識を定着させることの重要性。
67,🇨🇳,有备无患,yǒu bèi wú huàn,『書経』,備えあれば憂いなし。事前の準備や予習が学習において重要であることを示す。
68,🇨🇳,一年之计在于春,yī nián zhī jì zài yú chūn,中国のことわざ,一年の計は春にあり。物事は最初が肝心であり、学習計画をしっかり立てることの重要性。
69,🇨🇳,捷足先登,jié zú xiān dēng,『史記』,先んずれば人を制す。早く行動を起こし、学習を始めることで有利な立場に立てる。
70,🇨🇳,机不可失，时不再来,jī bù kě shī ， shí bù zài lái,中国のことわざ,機会は逃してはならず、時は二度と来ない。学習のチャンスを逃さず、今すぐ始めることの重要性。
71,🇨🇳,背水一战,bèi shuǐ yī zhàn,韓信（漢代の武将）,背水の陣。退路を断って決死の覚悟で物事（学習）に取り組むこと。
72,🇨🇳,星星之火，可以燎原,xīng xīng zhī huǒ ， kě yǐ liáo yuán,毛沢東,星のような小さな火でも、広大な野原を焼き尽くすことができる。小さな学習のきっかけが、大きな知識の体系へと発展する。
73,🇨🇳,逐二兔，不得一兔,zhú èr tù ， bù dé yī tù,中国のことわざ,二兎を追う者は一兎をも得ず。一度に多くのことを学ぼうとせず、一つずつ集中して取り組むべきだという教え。
74,🇨🇳,随机应变,suí jī yìng biàn,中国のことわざ,臨機応変。状況に応じて柔軟に対応し、学習方法を工夫すること。
75,🇨🇳,如果把才华比作剑，那么勤奋就是磨刀石,rú guǒ bǎ cái huá bǐ zuò jiàn ， nà me qín fèn jiù shì mó dāo shí,中国のことわざ,才能を剣に例えるなら、勤勉さは砥石である。才能があっても、日々の学習（研鑽）が不可欠であるという教え。
76,🇨🇳,十年树木，百年树人,shí nián shù mù ， bǎi nián shù rén,管仲（春秋時代の政治家）,木を育てるには十年かかるが、人を育てるには百年かかる。人の教育や学習は長い時間と継続的な努力を要する。
77,🇨🇳,无规矩不成方圆,wú guī jǔ bù chéng fāng yuán,孟子,規矩（ルール）なくして方円（秩序）は成らない。学習においても基本的なルールや規律を守ることの重要性。
78,🇨🇳,三思而后行,sān sī ér hòu xíng,孔子,三度考えてから行動する。学習においても、よく考えてから取り組むことの重要性。
79,🇨🇳,顾左右而言他,gù zuǒ yòu ér yán tā,孟子,左右を見て別の話をする。分からないことをごまかさず、正面から学習に向き合うべきだという戒め。
80,🇨🇳,当局者迷，旁观者清,dāng jú zhě mí ， páng guān zhě qīng,『旧唐書』,当事者は迷いやすく、傍観者は状況がよく見える。客観的に自分の学習方法を見直すことの重要性。
81,🇨🇳,惩前毖后,chéng qián bì hòu,『詩経』,前の失敗を懲りて、後の失敗を防ぐ。学習でのミスを分析し、次に生かすこと。
82,🇨🇳,路遥知马力，日久见人心,lù yáo zhī mǎ lì ， rì jiǔ jiàn rén xīn,中国のことわざ,道が遠くて初めて馬の力が分かり、日が経って初めて人の心が分かる。長期間の学習を通じて真の実力が身につく。
83,🇨🇳,听君一席话，胜读十年书,tīng jūn yī xí huà ， shèng dú shí nián shū,中国のことわざ,君の一席の話を聞くことは、十年の読書に勝る。優れた指導者や経験者からの直接の教えの価値。
84,🇨🇳,近水知鱼性，近山识鸟音,jìn shuǐ zhī yú xìng ， jìn shān shí niǎo yīn,『増広賢文』,水に近づけば魚の性質を知り、山に近づけば鳥の音を識る。その言語が話される環境や文化に触れることが、学習の近道。
85,🇨🇳,入乡随俗,rù xiāng suí sú,中国のことわざ,郷に入っては郷に従う。外国語を学ぶ際は、その国の文化や習慣も受け入れることの重要性。
86,🇨🇳,君子之交淡如水,jūn zǐ zhī jiāo dàn rú shuǐ,『荘子』,君子の交わりは淡きこと水の如し。学習仲間とは、互いに高め合うさっぱりとした良い関係を築くこと。
87,🇨🇳,行要好伴，住要好邻,xíng yào hǎo bàn ， zhù yào hǎo lín,中国のことわざ,旅には良い道連れ、住むには良い隣人が必要。学習においても良い仲間や環境が重要であることを示す。
88,🇨🇳,人心齐，泰山移,rén xīn qí ， tài shān yí,中国のことわざ,人々の心が一つになれば、泰山をも動かせる。仲間と協力して学習することの大きな力。
89,🇨🇳,种瓜得瓜，种豆得豆,zhòng guā dé guā ， zhòng dòu dé dòu,中国のことわざ,瓜の種をまけば瓜がなり、豆の種をまけば豆がなる。努力した分だけ結果が得られるという因果応報の教え。
90,🇨🇳,一步一个脚印,yī bù yī gè jiǎo yìn,中国のことわざ,一歩一歩足跡を残す。着実に学習を進め、確かな実力を身につけること。
91,🇨🇳,大处着眼，小处着手,dà chù zhuó yǎn ， xiǎo chù zhuó shǒu,中国のことわざ,大きな目標を見据えつつ、小さなことから着手する。語学の習得という大きな目標を持ちながら、日々の単語学習をコツコツ行うこと。
92,🇨🇳,身体力行,shēn tǐ lì xíng,『淮南子』,自ら実践する。学んだ知識を実際に使って行動することの重要性。
93,🇨🇳,难得糊涂,nán dé hú tú,鄭板橋（清代の書家・画家）,糊塗なるは得難し。時には細かいことにこだわりすぎず、大局的に学習を進めることも大切である。
94,🇨🇳,塞翁失马，焉知非福,sài wēng shī mǎ ， yān zhī fēi fú,『淮南子』,人間万事塞翁が馬。試験の不合格など一見悪い出来事も、後の学習のモチベーションなど良い結果につながるかもしれない。
95,🇨🇳,人无完人，金无足赤,rén wú wán rén ， jīn wú zú chì,中国のことわざ,完璧な人間はおらず、純度100%の金もない。学習において完璧を求めすぎず、間違いを恐れないこと。
96,🇨🇳,书山有路勤为径,shū shān yǒu lù qín wèi jìng,韓愈,書物の山に道はあるが、勤勉さがその道である。どんなに難しい内容も、勤勉に取り組めば必ず道が開ける。
97,🇨🇳,三更灯火五更鸡,sān gēng dēng huǒ wǔ gēng jī,顔真卿（唐代の書家）,夜中の三更に灯をともし、夜明けの五更に鶏が鳴く。夜遅くまで、また早朝から学習に励む姿勢。
98,🇨🇳,宝剑锋从磨砺出，梅花香自苦寒来,bǎo jiàn fēng cóng mó lì chū ， méi huā xiāng zì kǔ hán lái,中国のことわざ,宝剣の鋭さは研磨から生まれ、梅の花の香りは厳しい寒さから生まれる。苦しい学習の先に、美しい成果が待っている。
99,🇨🇳,不积跬步，无以至千里,bù jī kuǐ bù ， wú yǐ zhì qiān lǐ,荀子,小さな一歩を積み重ねなければ、千里の道には到達できない。毎日の単語学習の積み重ねが語学力を作る。
100,🇨🇳,锲而不舍，金石可镂,qiè ér bù shě ， jīn shí kě lòu,荀子,刻み続ければ、金属や石にも彫ることができる。諦めずに学習を続ければ、どんな難しい言語も習得できる。
101,🇺🇸,天才是百分之一的灵感加百分之九十九的汗水,tiān cái shì bǎi fēn zhī yī de líng gǎn jiā bǎi fēn zhī jiǔ shí jiǔ de hàn shuǐ,トーマス・エジソン（Thomas Edison）米・発明家,天才は1%のひらめきと99%の努力。単語学習も日々の地道な努力が最も重要であるという教え。
102,🇬🇧,知识就是力量,zhī shí jiù shì lì liàng,フランシス・ベーコン（Francis Bacon）英・哲学者,知は力なり。語学の知識を身につけることで、世界を広げ、自分の可能性を広げることができる。
103,🇩🇪,我并没有什么特殊的才能，我只是充满着强烈的好奇心,wǒ bìng méi yǒu shén me tè shū de cái néng ， wǒ zhǐ shì chōng mǎn zhe qiáng liè de hào qí xīn,アルベルト・アインシュタイン（Albert Einstein）独・物理学者,私には特別な才能はない。ただ、ものすごく好奇心が強いだけだ。新しい言語や単語に対する好奇心が学習の原動力になる。
104,🇩🇪,不要把学习看成是任务，而是一个令人羡慕的机会,bú yào bǎ xué xí kàn chéng shì rèn wù ， ér shì yí gè lìng rén xiàn mù de jī huì,アルベルト・アインシュタイン（Albert Einstein）独・物理学者,学習を義務と考えるのではなく、羨むべき機会と捉えなさい。前向きな姿勢で学習に取り組むことの重要性。
105,🇩🇪,成功=艰苦的劳动+正确的方法+少谈空话,chéng gōng = jiān kǔ de láo dòng + zhèng què de fāng fǎ + shǎo tán kōng huà,アルベルト・アインシュタイン（Albert Einstein）独・物理学者,成功＝厳しい労働＋正しい方法＋無駄話をしないこと。語学学習にも正しいメソッドと継続的な努力が必要である。
106,🇬🇧,如果我看得更远，那是因为我站在巨人的肩膀上,rú guǒ wǒ kàn dé gèng yuǎn ， nà shì yīn wèi wǒ zhàn zài jù rén de jiān bǎng shàng,アイザック・ニュートン（Isaac Newton）英・物理学者,私が遠くを見ることができたのは、巨人たちの肩に乗っていたからだ。先人たちが築いた文法や辞書を活用して学ぶことの意義。
107,🇬🇧,真理的大海，让未发现的一切事物躺卧在我的眼前，任我去探寻,zhēn lǐ de dà hǎi ， ràng wèi fā xiàn de yī qiè shì wù tǎng wò zài wǒ de yǎn qián ， rèn wǒ qù tàn xún,アイザック・ニュートン（Isaac Newton）英・物理学者,真理の大海は、未発見のすべてを私の目の前に横たわらせ、探求を待っている。未知の単語や表現を探求する楽しさ。
108,🇺🇸,学习另一种语言不仅是学会用另一种文字去表达一个意思，而是用另一种思维方式去思考事情,xué xí lìng yī zhǒng yǔ yán bù jǐn shì xué huì yòng lìng yī zhǒng wén zì qù biǎo dá yí gè yì si ， ér shì yòng lìng yī zhǒng sī wéi fāng shì qù sī kǎo shì qíng,フローラ・ルイス（Flora Lewis）米・ジャーナリスト,別の言語を学ぶことは、同じ物事を別の言葉で表現することではなく、別の思考法を学ぶことである。
109,🇮🇹,每种不同的语言都是一种不同的生活视角,měi zhǒng bù tóng de yǔ yán dōu shì yī zhǒng bù tóng de shēng huó shì jiǎo,フェデリコ・フェリーニ（Federico Fellini）伊・映画監督,異なる言語は、それぞれ異なる人生の視点である。言語を学ぶことで新しい世界の見方を獲得できる。
110,🇯🇵,学习另一种语言就像变成另一个人,xué xí lìng yī zhǒng yǔ yán jiù xiàng biàn chéng lìng yí gè rén,村上春樹（Haruki Murakami）日・小説家,別の言語を学ぶことは、別の人間になるようなものだ。新しい言語を話すときの新しい自分を楽しむこと。
111,🇬🇧,只要你学会各种语言，在哪里都像是在家里,zhǐ yào nǐ xué huì gè zhǒng yǔ yán ， zài nǎ li dōu xiàng shì zài jiā lǐ,エドマンド・デ・ワール（Edmund de Waal）英・陶芸家・作家,言語を学べば、どこにいても自分の家にいるように感じられる。語学がもたらす安心感と自由。
112,🇬🇧,一种语言限定了你的发展方向，两种语言就在沿途为你打开每一扇门,yī zhǒng yǔ yán xiàn dìng le nǐ de fā zhǎn fāng xiàng ， liǎng zhǒng yǔ yán jiù zài yán tú wèi nǐ dǎ kāi měi yī shàn mén,フランク・スミス（Frank Smith）英・言語学者,一つの言語は人生の廊下を定めるが、二つの言語はその道中のすべての扉を開いてくれる。
113,🇬🇧,你永远没有办法彻底的明白一门语言，直到你至少学会了第二种语言,nǐ yǒng yuǎn méi yǒu bàn fǎ chè dǐ de míng bái yī mén yǔ yán ， zhí dào nǐ zhì shǎo xué huì le dì èr zhǒng yǔ yán,ジェフリー・ウィランズ（Geoffrey Willans）英・作家,少なくとも第二言語を学ぶまでは、一つの言語を完全に理解することはできない。母語の理解も深まるという教え。
114,🇦🇹,语言对我的束缚就是语言对我的世界的束缚,yǔ yán duì wǒ de shù fù jiù shì yǔ yán duì wǒ de shì jiè de shù fù,ルートヴィヒ・ウィトゲンシュタイン（Ludwig Wittgenstein）墺・哲学者,私の言語の限界は、私の世界の限界を意味する。語彙を増やすことで、自分の世界を広げることができる。
115,🇺🇸,语言就是一个文化的指路标，它告诉你人从哪里来，他们又要去哪里,yǔ yán jiù shì yí gè wén huà de zhǐ lù biāo ， tā gào sù nǐ rén cóng nǎ lǐ lái ， tā men yòu yào qù nǎ lǐ,リタ・メイ・ブラウン（Rita Mae Brown）米・作家,言語は文化の道標である。単語の背景にある文化や歴史を学ぶことの重要性。
116,🇩🇪,那些不懂得外语的人也并不了解他们自己,nà xiē bù dǒng de wài yǔ de rén yě bìng bù liǎo jiě tā men zì jǐ,ヨハン・ヴォルフガング・フォン・ゲーテ（Johann Wolfgang von Goethe）独・文豪,外国語を知らない者は、自分自身のことも知らない。他言語との比較によって自己理解が深まる。
117,🇿🇦,如果你跟一个人用他听得懂的语言说一件事，那这件事就听进他的头脑里，但是如果你用他的语言说一件事，那就被听进他的心里,rú guǒ nǐ gēn yí gè rén yòng tā tīng de dǒng de yǔ yán shuō yī jiàn shì ， nà zhè jiàn shì jiù tīng jìn tā de tóu nǎo lǐ ， dàn shì rú guǒ nǐ yòng tā de yǔ yán shuō yī jiàn shì ， nà jiù bèi tīng jìn tā de xīn lǐ,ネルソン・マンデラ（Nelson Mandela）南ア・政治家,相手が理解できる言語で話しかければ頭に届き、相手の母語で話しかければ心に届く。語学学習の究極の目的。
118,🇫🇷,学会另一种语言就像是拥有另一个灵魂,xué huì lìng yī zhǒng yǔ yán jiù xiàng shì yōng yǒu lìng yí gè líng hún,カール大帝（Charlemagne）仏・神聖ローマ皇帝,別の言語を学ぶことは、もう一つの魂を持つようなものだ。言語習得による精神的な豊かさ。
119,🇨🇿,你懂得越多的语言，你就越能成为一个完整的人,nǐ dǒng de yuè duō de yǔ yán ， nǐ jiù yuè néng chéng wéi yí gè wán zhěng de rén,トマーシュ・マサリク（Tomáš Garrigue Masaryk）チェコ・政治家,知っている言語が多ければ多いほど、より完全な人間になれる。多言語学習の価値。
120,🇬🇧,语言的知识就是通往智慧的大门,yǔ yán de zhī shí jiù shì tōng wǎng zhì huì de dà mén,ロジャー・ベーコン（Roger Bacon）英・哲学者・科学者,言語の知識は知恵への扉である。単語学習がすべての学問の基礎となること。
121,🇩🇪,教育是在一个人忘记了他在学校里学到的一切之后剩下的东西,jiào yù shì zài yí gè rén wàng jì le tā zài xué xiào lǐ xué dào de yī qiè zhī hòu shèng xià de dōng xī,アルベルト・アインシュタイン（Albert Einstein）独・物理学者,教育とは、学校で学んだことをすべて忘れた後に残るものである。詰め込みではなく、本質的な学習の重要性。
122,🇩🇪,重要的是不要停止提问。好奇心有其存在的理由,zhòng yào de shì bú yào tíng zhǐ tí wèn 。 hào qí xīn yǒu qí cún zài de lǐ yóu,アルベルト・アインシュタイン（Albert Einstein）独・物理学者,大切なのは疑問を持ち続けることだ。好奇心には存在する理由がある。分からない単語を常に調べる姿勢。
123,🇺🇸,我没有失败。我只是找到了一万种行不通的方法,wǒ méi yǒu shī bài 。 wǒ zhǐ shì zhǎo dào le yī wàn zhǒng xíng bù tōng de fāng fǎ,トーマス・エジソン（Thomas Edison）米・発明家,私は失敗したことがない。ただ、うまくいかない方法を1万通り見つけただけだ。学習での間違いを恐れないこと。
124,🇬🇧,读书给人以快乐、给人以光彩、给人以才干,dú shū gěi rén yǐ kuài lè 、 gěi rén yǐ guāng cǎi 、 gěi rén yǐ cái gàn,フランシス・ベーコン（Francis Bacon）英・哲学者,読書は人に喜びを与え、輝きを与え、才能を与える。外国語での読書がもたらす恩恵。
125,🇷🇺,理想的书籍是智慧的钥匙,lǐ xiǎng de shū jí shì zhì huì de yào shi,レフ・トルストイ（Leo Tolstoy）露・文豪,理想的な書物は知恵の鍵である。良質なテキストや単語帳を選ぶことの重要性。
126,🇷🇺,没有智慧的头脑，就像没有蜡烛的灯笼,méi yǒu zhì huì de tóu nǎo ， jiù xiàng méi yǒu là zhú de dēng lóng,レフ・トルストイ（Leo Tolstoy）露・文豪,知恵のない頭脳は、ろうそくのない提灯のようなものだ。知識を蓄えることの必要性。
127,🇷🇺,如果学习只在于模仿，那么我们就不会有科学，也不会有技术,rú guǒ xué xí zhǐ zài yú mó fǎng ， nà me wǒ men jiù bú huì yǒu kē xué ， yě bú huì yǒu jì shù,マクシム・ゴーリキー（Maxim Gorky）露・文豪,学習が単なる模倣に過ぎないなら、科学も技術も存在しない。単語を覚えるだけでなく、自分で文を作る応用力。
