c_word,j_word,c_sentence,j_sentence,english sentence,pinyin
获得,獲得する,我获得了一个机会。,私はチャンスを得ました。,I got a chance.,huòdé
积累,積み重なる,你需要积累经验。,あなたは経験を積む必要があります。,You need to gain experience.,jīlěi
寄,郵送する,我要寄包裹。,小包を送りたいです。,I want to send a package.,jì
计划,計画する,我的计划是学习。,私の計画は勉強することです。,My plan is to study.,jìhuà
技术,技術,科学技术发展很快。,科学技術の発展はとても速いです。,The development of science and technology is very fast.,jìshù
继续,継続する,我们要继续努力。,私たちは引き続き頑張らなければなりません。,We must continue to work hard.,jìxù
加班,残業する,我经常加班。,私はよく残業します。,I often work overtime.,jiābān
奖金,ボーナス,我得到了奖金。,ボーナスをもらいました。,I received a bonus.,jiǎng jīn
降低,下げる,降低了价格。,価格を下げました。,I lowered the price.,jiàng dī
进行,進行する,会议正在进行。,会議が進行中です。,The meeting is in progress.,jìnxíng
经济,経済,经济发展很快。,経済発展はとても速いです。,Economic development is very fast.,jīngjì
经历,経歴,这是一个难忘的经历。,これは忘れられない経験です。,This is an unforgettable experience.,jīnglì
举办,行う,他们举办了晚会。,彼らはパーティーを開催しました。,They held a party.,jǔ bàn
拉,引っ張る,请拉一下。,引っぱってください。,Please pull it.,lā
留,留める,留下来吃饭吧。,ここに残って食事をしましょう。,Let's stay here and eat.,liú
判断,判断する,我判断错了。,私の判断は間違っていました。,My judgment was wrong.,pànduàn
批评,批判する/しかる,他批评了我。,彼は私を批判した。,He criticized me.,pīpíng
普遍,普遍的な,这是一个普遍现象。,これは普遍的な現象です。,This is a universal phenomenon.,pǔ biàn
起飞,離陸する,飞机马上起飞了。,飛行機はまもなく離陸します。,The airplane will be taking off shortly.,qǐfēi
轻,軽い,这本书很轻。,この本はとても軽いです。,This book is very light.,qīng
请假,休みをもらう,我想请假。,休暇を取りたいです。,I want to take a vacation.,qǐng jià
区别,区別する,有什么区别？,何が違いますか？,What is the difference?,qū bié
取,取る,请取你的行李。,荷物をお取りください。,Please collect your luggage.,qǔ
缺少,不足している,我们缺少人手。,私たちは人手が足りません。,We are short-handed.,quēshǎo
确实,確実である,他确实很努力。,彼は本当に努力しています。,He is really working hard.,què shí
商量,相談する,我们商量商量。,話し合いましょう。,Let's discuss.,shāng liang
申请,申請する,我申请签证。,私はビザを申請します。,I will apply for a visa.,shēnqǐng
使用,使用する,请使用。,使用してください。,Please use it.,shǐ yòng
收,受け取る,收到了礼物。,プレゼントを受け取りました。,I received the present.,shōu
收拾,片付ける,快去收拾房间。,早く部屋を片付けなさい。,Clean your room quickly.,shōushí
受到,受ける,受到影响。,影響を受けている。,It is affected.,shòudào
熟悉,熟知している,我们都很熟悉。,私たちは皆、よく知っています。,We all know well.,shú xī
顺利,順調,一切都很顺利。,すべて順調である。,Everything is fine.,shùnlì
讨论,討論する,我们讨论一下。,話し合いましょう。,Let's talk.,tǎolùn
提供,提供する,我可以提供帮助。,私がお手伝いできます。,I can help you.,tígōng
提前,繰り上げる,我提前完成了。,私は予定より早く終わらせました。,I finished earlier than planned.,tí qián
提醒,気づかせる,我提醒你一下。,注意しておきますね。,I will keep that in mind.,tí xǐng
停止,停止する,请停止说话。,話すのをやめてください。,Please stop talking.,tíngzhǐ
推,押す,我推了她一把。,私は彼女をひと押ししました。,I gave her a push.,tuī
推迟,延期する,会议推迟了。,会議は延期されました。,The meeting was postponed.,tuī chí
限制,制限する,年龄限制,年齢制限,Age limit,xiàn zhì
信任,信頼する,我信任他。,彼を信用している。,I trust him.,xìn rèn
修,修理する,他修好了手表。,彼は腕時計を修理しました。,He fixed his watch.,xiū
严格,厳しい,他工作很严格。,彼の仕事は非常に厳格です。,His work is very strict.,yán gé
严重,深刻な,问题很严重。,問題は深刻です。,The problem is serious.,yánzhòng
养成,育成する,养成一个好习惯。,良い習慣を身につける。,Get into a good habit.,yǎng chéng
邀请,招待する,邀请她来我家。,彼女を私の家に招待します。,I will invite her to my house.,yāoqǐng
引起,引き起こす,引起了注意,注目を集めた,"attracted attention, gained attention, drew attention",yǐnqǐ
阅读,読む,我喜欢阅读。,私は読書が好きです。,I like reading books.,yuè dú
允许,許す,请允许我参加。,参加させてください。,Let me join.,yǔnxǔ
增加,増加する,增加经验。,経験を増やします。,I will increase my experience.,zēng jiā
招聘,募集する,我们正在招聘。,私たちは採用活動中です。,We are recruiting.,zhāo pìn
证明,証明する,请你证明一下。,証明してください。,Please prove it.,zhèngmíng
值得,〜する価値がある,这很值得。,それは価値がある。,It's worth it.,zhí de
制造,製造する,公司制造电脑。,会社はコンピューターを製造しています。,The company manufactures computers.,zhì zào
重视,重視する,我非常重视健康。,私は健康を非常に重視しています。,I attach great importance to my health.,zhòngshì
专门,専門,他是专门做这个的。,彼はこれの専門家です。,He is an expert on this.,zhuānmén
赚,稼ぐ,我賺了很多钱。,私はたくさんお金を稼ぎました。,I earned a lot of money.,zhuan4
准确,正しい,他说得很准确。,彼は正確に言いました。,He said it accurately.,zhǔnquè
准时,時間通り,请准时到。,時間通りに来てください。,Please come on time.,zhǔn shí
仔细,隅々まで,请你仔细看。,よく見てください。,Please look carefully.,zǐ xì
总结,まとめる,请作个总结。,要約をお願いします。,Please summarize.,zǒngjié
组成,構成する,由什么组成？,何で構成されていますか？,What is it composed of?,zǔchéng
笔记 本,ノート,我买了一个新笔记 本。,私は新しいノートを買いました。,I bought a new notebook.,bǐ jì běn
高级,ハイレベルな,这件衣服很高级。,この服はとても高級だ。,This clothing is very high-class.,gāojí
教育,教育,教育很重要。,教育はとても大切です。,Education is very important.,jiàoyù
专业,専攻,他是学专业的。,彼は専門を学んでいます。,He is studying his major.,zhuānyè
留学,留学,他想去留学。,彼は留学に行きたいと思っています。,He wants to go study abroad.,liú xué
毕业,卒業する,我今年毕业。,私は今年卒業します。,I will graduate this year.,bì yè
研究生,大学院生,我是研究生。,私は大学院生です。,I am a graduate student.,yán jiū shēng
硕士,修士,她取得了硕士学位。,彼女は修士号を取得しました。,She obtained a master's degree.,shuò shì
博士,博士,他是一位博士。,彼は博士です。,He is a doctor.,bó shì
教授,教授,她是大学教授。,彼女は大学教授です。,She is a university professor.,jiàoshòu
父亲,父親,我爱我父亲。,私は私の父を愛しています。,I love my father.,fùqin
母亲,母親,我爱我的母亲。,私は私の母を愛しています。,I love my mother.,mǔqīn
孙子,孫,我有一个孙子。,私には孫がいます。,I have grandchildren.,sūnzi
亲戚,親戚,她是我的亲戚。,彼女は私の親戚です。,She is my relative.,qīn qi
咱们,私たち,咱们走吧。,行きましょう。,Let's go.,"zánmen
or
zá men"
顾客,お客さま,欢迎光临，顾客！,いらっしゃいませ、お客様！,"Welcome, customer!",gùkè
职业,職業,你的职业是什么?,あなたの職業は何ですか？,What is your occupation?,zhíyè
大夫,お医者さん,他是大夫。,彼は医者です。,He is a doctor.,dàifu / dàfū
护士,看護師,她是一位护士。,彼女は看護師です。,She is a nurse.,hùshì
记者,記者,我是新闻记者。,私はニュース記者です。,I am a news reporter.,jìzhě
导游,ガイド,他是我的导游。,彼は私のガイドです。,He is my guide.,dǎo yóu
警察,警察,他是警察。,彼は警察官です。,He is a police officer.,jǐngchá
律师,弁護士,他是我的律师。,彼は私の弁護士です。,He is my lawyer.,lǜshī
售货员,販売員,他是售货员。,彼は店員です。,He is a shop assistant.,shòuhuòyuán
组织,組織,组织活动很成功。,活動の組織はとても成功しました。,The organization of the event was a great success.,zǔzhī
作者,作者,这部书的作者是谁？,この本の作者は誰ですか？,Who is the author of this book?,zuòzhě
暗,暗い,天色很暗。,空がとても暗い。,The sky is very dark.,àn
保护,保護する,请保护环境。,環境を保護してください。,Please protect the environment.,bǎo hù
抱,抱える,抱抱我,私をハグして。,Hug me.,bào
抱歉,ごめんなさい,真抱歉，我迟到了。,本当にごめんなさい、遅刻しました。,"I am so sorry, I am late.",bàoqiàn
倍,倍,这个月的工资翻了一倍。,今月の給料は2倍になりました。,This month's salary has doubled.,bèi
笨,間抜けだ,别做笨事。,馬鹿なことはするな。,Don't do anything stupid.,bèn
标准,標準,这是标准。,これは標準です。,This is standard.,biāozhǔn
表扬,褒める,老师表扬了他。,先生は彼を褒めました。,The teacher praised him.,biǎoyáng
擦,ぬぐう,我擦了一下桌子。,私はテーブルを拭きました。,I wiped the table.,cā
猜,推測する,你猜猜看。,当ててみて。,Take a guess.,cāi
材料,材料,准备好所有材料。,すべての材料を準備してください。,Please prepare all the ingredients.,cáiliào
差不多,大差ない,我们差不多了。,私たちはもうすぐ終わります。,We're almost done.,chà bu duō
尝,味見する,你尝尝味道。,味見してみて。,Try a taste.,cháng
吵,騒ぐ,别吵了。,うるさいよ。,Noisy.,chao3
诚实,誠実である,他很诚实。,彼はとても正直です。,He is very honest.,chéngshí
乘坐,乗る,乘坐公共汽车。,バスに乗る。,Get on the bus.,chéng zuò
吃惊,驚く,我很吃惊。,驚いた。,I was surprised.,chī jīng
抽烟,タバコを吸う,我很少抽烟。,私はめったにタバコを吸いません。,I rarely smoke.,chōuyān
出生,生まれる,我出生在大阪。,私は大阪で生まれました。,I was born in Osaka.,chūshēng
粗心,そそっかしい,他做事很粗心。,彼は物事をするとき、とても不注意だ。,He is very careless when he does things.,cūxīn
打扮,おしゃれする,她打扮得很漂亮。,彼女は今日きれいに着飾っている。,She is dressed up beautifully today.,dǎban
打扰,邪魔する,不好意思，打扰了。,申し訳ありません、お邪魔しました。,I'm sorry for disturbing you.,dǎ rǎo
打针,注射する,我要去打针。,注射をしてもらいます。,I will get an injection/shot.,dǎ zhēn
戴,かぶる,她戴着一副眼镜。,彼女は眼鏡をかけています。,She is wearing glasses.,dài
当地,その土地,我们问当地人。,私たちは地元の人に聞きます。,We ask the locals.,dāngdì
道歉,謝る,我应该向他道歉。,私は彼に謝罪すべきです。,I should apologize to him.,dào qiàn
得意,得意げ,他显得很得意。,彼はとても得意げに見えた。,He looked very proud.,déyì
等,待つ,请等一下。,お待ちください。,Please wait.,děng
丢,なくす,我把钥匙丢了。,鍵をなくしました。,I lost my key.,diū
动作,動作,"这个动作很简单。 (Zhège dòngzuò hěn jiǎndān.)
この動作はとても簡単です。",この動作はとても簡単です。,This movement is very simple.,dòng zuò
堵车,渋滞,我讨厌堵车。,私は渋滞が嫌いです。,I hate traffic jams.,dǔ chē
肚子,お腹,我肚子饿了。,お腹がすいた。,I am hungry.,dù zi
断,中断する,我们断了联系。,私たちは連絡を絶った。,We broke off contact.,duàn
对,その通り,对不起，我错了。,ごめんなさい、私が間違っていました。,"I'm sorry, I was wrong.",duì
对话,対話する,这是一个对话。,これは会話です。,This is a conversation.,duì huà
烦恼,悩む,你有什么烦恼？,何か悩みがありますか？,Do you have any worries?,fánnǎo
反对,反対する,我反对这个计划。,私はこの計画に反対です。,I am against this plan.,fănduì
反应,反応する,她的反应很快。,彼女の反応は速い。,Her reaction is quick.,fǎnyìng
范围,範囲,这个范围很广。,この範囲はとても広いです。,This range is very wide.,fàn wéi
放弃,放棄する,我不会放弃。,私は諦めません。,I won't give up.,fàngqì
暑假,夏休み,我的暑假计划。,私の夏休みの計画。,My summer vacation plan.,shǔjià
符合,合う,他的话很符合事实。,彼の話は事実とよく一致している。,His story is consistent with the facts.,fúhé
感动,感動する,我非常感动。,私はとても感動しました。,I was very moved.,gǎndòng
感觉,感じる,我感觉很好。,気分がいいです。,I'm feeling good.,gǎnjué
感情,気持ち,他们的感情很好。,彼らはとても仲が良いです。,They get along very well.,gǎnqíng
孤单,孤独,我感到很孤单。,私はとても寂しいと感じています。,I feel very lonely.,gū dān
鼓励,励ます,我鼓励你。,私はあなたを励まします。,I will encourage you.,gǔlì
鼓掌,拍手する,大家热烈鼓掌。,皆が熱烈に拍手した。,Everyone applauded enthusiastically.,gǔzhǎng
故意,わざと,他是故意笑的。,彼はわざと笑った。,He laughed intentionally.,gù yì
逛,ぶらぶらする,我们去逛商店吧。,お店に買い物に行きましょう。,Let's go shopping at the store.,guàng
汗,汗,我流了很多汗。,私はたくさん汗をかきました。,I sweated a lot.,hàn
后悔,後悔する,我有点儿后悔。,少し後悔しています。,I regret it a little.,hòu huǐ
怀疑,疑う,我开始怀疑。,私は疑い始めた。,I started to doubt.,huáiyí
活动,活動,我们有活动。,私たちはイベントがあります。,We have an event.,huódòng
基础,基礎,打下基础。,基礎を築いた。,Built a foundation.,jīchǔ
激动,感動する,我感到很激动。,私はとてもわくわくしています。,I am very excited.,jīdòng
极其,極めて,他极其聪明。,彼は非常に賢いです。,He is very clever.,jí qí
集合,集まる,我们集合在一起。,私たちは一緒に集まる。,We gather together.,jí hé
及时,ちょうどその時,请及时回复。,すみやかにご返信ください。,Please respond soon.,jí shí
坚持,やり通す,我会坚持下去。,私はやり続けます。,I will keep doing it.,jiānchí
减肥,ダイエットする,我要减肥。,ダイエットしたい。,I want to diet.,jiǎnféi
减少,減少する,我们减少浪费。,私たちは浪費を減らします。,We will reduce our wastefulness.,jiǎnshǎo
交,渡す/友達になる,我们交朋友。,私たちは友達になります。,We will become friends.,jiāo
交流,交流する,我们互相交流。,私たちはお互いに交流します。,We interact with each other.,jiāo liú
骄傲,傲慢/誇る,他很骄傲。,彼はとてもプライドが高いです。,He is very proud.,jiāo'ào
接受,受け入れる,我接受了。,私は受け入れました。,I accepted it.,jiē shòu
节约,節約する,我们应该节约。,私たちは節約すべきです。,We should save money.,jié yuē
解释,説明する,请你解释一下。,説明してください。,Please explain.,jiěshì
精彩,素晴らしい,表演很精彩。,パフォーマンスは素晴らしかったです。,The performance was excellent.,jīng cǎi
经验,経験,我有很多经验。,私にはたくさんの経験があります。,I have a lot of experience.,jīngyàn
拒绝,拒む,我拒绝了邀请。,私は招待を断りました。,I declined the invitation.,jù jué
开玩笑,冗談を言う,我开玩笑呢。,冗談だよ,I'm joking.,kāi wán xiào
看法,見解,你对这件事有什么看法?,あなたはこの件について何か意見がありますか？,Do you have any opinion on this matter?,kàn fǎ
考虑,考える,我们再考虑考虑。,もう一度考えてみましょう。,Let's think about it one more time.,kǎo lǜ
可惜,惜しい,可惜他不在家。,残念ながら、彼は家にいません。,"Unfortunately, he is not at home.",kěxī
苦,苦い/つらい,我感到很苦。,私はとても苦しいと感じています。,I feel very distressed.,kǔ
宽,広い,路很宽。,この道は広い。,This road is wide.,kuān
扩大,拡大する,扩大影响。,影響を拡大する。,To expand the influence.,kuòdà
辣,からい,这个菜很辣。,この料理はとても辛いです。,This dish is very spicy.,là
懒,怠ける,你太懒了。,あなたは怠けすぎです。,You are too lazy.,lǎn
浪费,浪費する,不要浪费时间。,時間を無駄にしないでください。,Don't waste time.,làng fèi
理解,理解する,我理解你。,私はあなたを理解しています。,I understand you.,lǐ jiě
厉害,すごい,他很厉害。,彼はすごい。,He's amazing.,lìhai
力气,気力,我没力气了。,もう力が出ません。,I have no strength left.,lìqi
联系,連絡する,请联系我。,私に連絡してください。,Please contact me.,liánxì
凉快,涼しい,这儿很凉快。,ここはとても涼しいです。,It is very cool here.,liáng kuai
聊天,おしゃべり,我们聊天吧。,おしゃべりしましょう。,Let's chat.,liáo tiān
流泪,涙する,她感动得流泪了。,彼女は感動して涙を流しました。,She was moved to tears.,liú lèi
流行,流行する,这种音乐很流行。,この音楽はとても人気があります。,This music is very popular.,liúxíng
乱,乱れている,房间里很乱。,部屋がとても散らかっている。,The room is very messy.,luàn
麻烦,めんどくさい,麻烦您了。,お手数をおかけしました。,I apologize for the trouble/inconvenience.,máfan
马虎,いい加減である,别这么马虎。,そんなにそそっかしいのはやめて。,Stop being so careless.,mǎhu
免费,無料,这个是免费的。,これは無料です。,This is free.,miǎnfèi
耐心,辛抱強い,你需要有耐心。,あなたは忍耐が必要です。,You need patience.,nàixīn
内,内,房间里很暖和。,部屋はとても暖かいです。,The room is very warm.,nèi
弄,いじる,你弄错了。,あなたは間違っています。,You are wrong.,"lòng, nòng"
暖和,暖かい,今天很暖和。,今日はとても暖かいです。,It is very warm today.,nuǎnhuo
排列,配列する,请按顺序排列。,順番に並べてください。,"Arrange in order, please.",páiliè
陪,付き添う,我陪你去。,私がお供します。,I will accompany you.,péi
骗,騙す,我没骗你。,私はあなたをだましていない。,I am not deceiving you.,piàn
破,壊す/破る,他打破了杯子。,彼はコップを割りました。,He broke the glass.,pò
请客,ご飯を奢る,我请客吃饭。,私がおごります。 (または 私が食事をごちそうします。),I'll treat you. (or I'll buy you a meal.),qǐng kè
穷,貧乏である,我们都很穷。,私たちは皆貧しいです。,We are all poor.,qióng
热闹,賑やかである,街上很热闹。,通りはとても賑やかです。,The street is very lively.,rènào
扔,捨てる,请不要扔垃圾。,ゴミを捨てないでください。,Please do not litter.,rēng
散步,散歩する,我喜欢散步。,私は散歩が好きです。,I like walking.,sànbù
伤心,悲しむ,你别太伤心了。,あまり気を落とさないで。,Don't let it get you down.,shāngxīn
稍微,少し,稍微有点儿贵,少し高いです,It's a little expensive.,shāowēi
剩,残す,剩下不多了。,残り少ないです。,There are only a few left.,shèng
失望,失望する,别让我失望。,私をがっかりさせないで。,Don't let me down.,shī wàng
湿润,しっとりしている,空气很湿润。,空気はとても湿っている。,The air is quite damp in here.,shīrùn
试,試す,你再试一下。,もう一度試してみてください。,Please try again.,shì
适合,ぴったり合う,这件衣服很适合你。,この服はあなたによく似合っています。,This outfit really suits you.,shìhé
适应,適応する,我适应这里的生活。,私はここの生活に慣れています。,I am used to the life here.,shìyìng
首先,まずはじめに,首先，我同意。,まず、私は賛成です。,"First, I agree.",shǒu xiān
受不了,耐えられない,我受不了了。,もう我慢できません。,I can't stand it anymore.,shòu bù liǎo
输,負ける,我们不能输。,私たちは負けるわけにはいかない。,We cannot afford to lose.,shū (shu1)
谈,話す,我们谈一谈。 (Wǒmen tán yī tán.),話し合いましょう。,Let's talk about it.,tán (tan2)
躺,横になる,他躺在沙发上。,彼はソファーに横になっています。,He is lying on the sofa.,tǎng
讨厌,嫌う,我讨厌你。,私はあなたが嫌いです。,I hate you.,tǎo yàn
填空,埋める,请完成填空。,空欄を埋めてください。,Please fill in the blanks.,tiánkòng
挺〜的,とても〜,这个电影挺好的。,この映画はとても良いです。,This movie is very good.,tǐng...de
同情,同情する,我有点儿同情她。,彼女にちょっと同情します。,I feel a little sorry for her.,tóngqíng
脱,脱ぐ,脱掉鞋子,靴を脱ぐ,Take off one's shoes.,tuō
危险,危険である,这很危险。,これは危険です。,This is dangerous.,wēixiǎn
味道,味,这个味道不错。,この味は良いですね。,This taste is good.,wèidao
握手,握手する,我们握手吧。,握手しましょう。,Let's shake hands.,wòshǒu
无,ない,无可奉告。,ノーコメント,No comment.,wú
吸引,ひきつける,它很吸引人。,それはとても魅力的です。,That is very attractive.,xī yǐn
香,香りが良い,这个花很香。,この花はとても香りが良いです。,This flower smells very good.,"xiāng
(Note: The search results also mention other pronunciations like bì, but xiāng is the primary and most common one for the meaning 'fragrant' or 'delicious'.)"
响,音が鳴る,声音太响了。,うるさすぎます。,It's too loud.,xiǎng (xiang3)
辛苦,大変,你辛苦了。,お疲れ様でした。,Thank you for your hard work.,xīn kǔ
信心,信念,我要有信心。,私は自信を持つ必要があります。,I need to have confidence.,xìnxīn
兴奋,興奮している,他很兴奋。,彼は興奮しています。,He is excited.,xīngfèn
不行,よくない,你不能去。,あなたはいけません。,You may not go.,bùxíng
醒,目を覚ます,"你醒了吗？
(Nǐ xǐng le ma?)",起きましたか。,Did you wake up?,xǐng
幸福,幸福,生活很幸福。,生活はとても幸せです。,Life is very happy.,xìng fú
硬,硬い,这面包很硬。,このパンはとても硬いです。,This bread is very hard.,yìng
永远,永遠に,我永远爱你。,私は永遠にあなたを愛しています。,I love you forever.,yǒngyuǎn
有趣,面白い,这本书很有趣。,この本はとても面白いです。,This book is very interesting.,yǒuqù
友谊,友情,我们的友谊很深。,私たちの友情は深いです。,Our friendship is deep.,yǒuyì
愉快,楽しい,祝你周末愉快。,良い週末を。,Have a good weekend.,yú kuài
语法,文法,语法很难。,文法は難しいです。,Grammar is difficult.,yǔfǎ
预习,予習する,我预习中文。,私は中国語を予習します。,I will prepare for my Chinese class.,yùxí
原谅,許す,请你原谅我。,私を許してください。,Please forgive me.,yuán liàng
约会,デート,我有一个约会。,私はデートの予定があります。,I have a date planned.,yuēhuì
脏,汚い,这太脏了。,これは汚すぎます。,This is too dirty.,zàng
增长,増加する,经济增长很快。,経済成長が速い。,The economic growth is fast.,zēng zhǎng
整理,整理する,我整理房间。,私は部屋を片付けます。,I will clean up the room.,zhěng lǐ
整齐,きちんとしている,请把书整理整齐。,本をきれいに整理してください。,Please organize the books neatly.,zhěngqí
正常,正常である,一切正常。,全て正常です。,Everything is normal.,zhèng cháng
正好,ちょうど良い,现在来正好。,今来たらちょうどいい。,It's just right if you come now.,zhènghǎo
支持,支持する,我们支持你。,私たちはあなたを応援します。,We are cheering for you.,zhī chí
祝贺,祝う,祝贺你成功了。,成功おめでとうございます。,Congratulations on your success.,zhùhè
撞,ぶつかる,他撞了我的车。,彼は私の車にぶつかりました。,He hit my car.,zhuàng
嘴,口,他的嘴很大。,彼の口はとても大きいです。,His mouth is very big.,zuǐ
最后,最後の,最后一次。,最後です。,This is the last one.,zuì hòu
并且,さらに,他很好并且很帅。,彼はとても良い上に、かっこいいです。,"He is not only very nice, but also handsome.",bìng qiě
不但,〜だけでなく,她不但漂亮。,彼女はきれいなだけでなく。,She's not just beautiful.,bùdàn
不管,〜にかかわらず,不管多忙。,どんなに忙しくても。,No matter how busy.,bù guǎn
不仅,〜だけでない,不仅好吃。,美味しいだけでなく。,Not only delicious.,bù jǐn
