No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
93,黑板,hēi bǎn,"blackboard; CL:块[kuai4] ,个",黒板,黑板上有字。,黒板に文字があります。,There are words on the blackboard.,老师在黑板上写了很多重要的内容。,先生は黒板にたくさんの重要な内容を書きました。
94,后来,hòu lái,afterwards; later,その後,后来我才知道。,後で私は初めて知りました。,I only found out later.,后来我明白了他的意思，我们解决了问题。,その後、私は彼の意味がわかり、問題を解決しました。
95,护照,hù zhào,"passport; CL:本[ben3] ,个",パスポート,请带护照来。,パスポートを持ってきてください。,Please bring your passport.,请带好护照，机场检查时会用到。,パスポートを忘れずに持ってきてください、空港の検査で使います。
96,花,huā,"to blossom; to spend (money, time)",花,花很漂亮。,花はとてもきれいです。,The flowers are very beautiful.,春天来了，公园里开满了各种各样的花。,春が来て、公園にはいろいろな花が満開です。
97,花,huā,flower; blossoms; bloom: pattern: design,使う,花了很多钱。,たくさんお金を使いました。,I spent a lot of money.,我们花了很多时间准备这次演讲，希望成功。,私たちはこのスピーチの準備にたくさん時間をかけました、成功を願っています。
98,画,huà,"to draw; picture; painting; CL:幅[fu2] ,张[zhang1]",絵を描く,他喜欢画画。,彼は絵を描くのが好きです。,He likes to draw.,她喜欢画画，经常在业余时间练习写生。,彼女は絵を描くのが好きで、よく暇な時間に写生の練習をしています。
99,坏,huài,bad; spoiled; broken; to break down,壊れる,手机坏了。,携帯電話が壊れました。,The phone is broken.,这台电脑坏了，需要送去维修中心修理。,このパソコンは壊れてしまったので、修理センターに送る必要があります。
100,欢迎,huān yíng,to welcome; welcome,歓迎する,欢迎你来中国。,中国へようこそ。,Welcome to China.,欢迎你们来我们学校参加文化交流活动。,私たちの学校で開催される文化交流活動にようこそいらっしゃいました。
101,环境,huán jìng,environment; circumstances; surroundings; ambient; CL:个,環境,环境很重要。,環境はとても重要です。,The environment is very important.,我们应该保护环境，减少污染。,私たちは環境を守り、汚染を減らすべきです。
102,还,huán,to come back; to give back; to return; to pay back,返す,我还没吃饭。,私はまだご飯を食べていません。,I haven't eaten yet.,我还没有完成今天的作业。,私はまだ今日の宿題を終えていません。
103,换,huàn,change; exchange,交換する,我想换衣服。,服を着替えたいです。,I want to change clothes.,你可以换一件衣服吗？,服を一着着替えられますか？
104,黄河,huáng hé,Yellow River,黄河,黄河很长。,黄河はとても長いです。,The Yellow River is very long.,黄河是中国最长的河流。,黄河は中国で最も長い川です。
105,回答,huí dá,to reply; to answer; the answer; CL:个,答える,请回答问题。,質問に答えてください。,Please answer the question.,请你回答我的问题好吗？,私の質問に答えてくれますか？
106,会议,huì yì,"meeting; conference; CL:场[chang3] ,届[jie4]",会議,会议马上开始。,会議はすぐに始まります。,The meeting will start soon.,今天下午我们有一个重要的会议。,今日の午後、私たちは重要な会議があります。
107,或者,huò zhě,or; possibly; maybe; perhaps,または,你喝茶或者咖啡？,あなたはお茶かコーヒーを飲みますか？,Do you drink tea or coffee?,你想喝茶或者咖啡？,お茶かコーヒー、どちらが飲みたいですか？
108,几乎,jī hū,almost; nearly; practically,ほとんど,他几乎迟到。,彼はほとんど遅刻しそうでした。,He almost was late.,我几乎每天都去健身房锻炼。,私はほぼ毎日ジムに行って運動しています。
109,机会,jī huì,opportunity; chance; occasion; CL:个,機会,机会来了！,チャンスが来た！,The opportunity has come!,这是一个很好的学习机会。,これはとても良い学習の機会です。
110,极,jí,"extremely; pole (geography, physics); utmost; top",極めて,我极喜欢你。,私はあなたがとても好きです。,I like you very much.,这个问题极其重要，必须解决。,この問題は非常に重要で、必ず解決しなければなりません。
111,季节,jì jié,time; season; period; CL:个,季節,春天是好季节。,春は良い季節です。,Spring is a good season.,春天是我最喜欢的季节。,春は私が一番好きな季節です。
112,记得,jì de,to remember,覚える,我记得那天。,私はあの日を覚えています。,I remember that day.,你还记得我们的约定吗？,私たちの約束をまだ覚えていますか？
113,检查,jiǎn chá,inspection; to examine; to inspect; CL:次[ci4],検査する,医生检查身体。,医者が体を診察します。,The doctor examines the body.,医生建议我去医院检查身体。,医者は私に病院で体の検査を受けるよう勧めました。
114,简单,jiǎn dān,simple; not complicated,簡単な,这个题很简单。,この問題はとても簡単です。,This question is very simple.,这个问题很简单，你可以回答。,この問題はとても簡単なので、あなたは答えられます。
115,健康,jiàn kāng,health; healthy,健康,健康很重要。,健康はとても重要です。,Health is very important.,保持健康是非常重要的事情。,健康を保つことは非常に大切なことです。
116,见面,jiàn miàn,to meet; to see sb; CL:次[ci4],会う,我们明天见面。,私たちは明日会います。,We will meet tomorrow.,我们明天在公园见面吧。,私たちは明日公園で会いましょう。
117,讲,jiǎng,to explain; to speak; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture,話す,老师讲中文。,先生は中国語を教えます。,The teacher teaches Chinese.,老师讲了一个有趣的故事。,先生は面白い話をしました。
118,教,jiào,to teach,教える,他教我汉语。,彼は私に中国語を教えます。,He teaches me Chinese.,他教我怎么用电脑写作。,彼は私にパソコンの使い方を教えてくれました。
119,脚,jiǎo,"foot; leg; base; kick; CL:双[shuang1] ,只[zhi1]",足,脚疼怎么办？,足が痛いときはどうしますか？,What should you do if your foot hurts?,我的脚受伤了，不能走路。,私の足がけがをして、歩けません。
120,角,jiǎo,horn; angle; corner ; horn-shaped; unit of money equal to 0.10 yuan; CL:个,角,桌子有四个角。,机には四つの角があります。,The table has four corners.,桌子的角上放着一本书。,机の角に一冊の本が置いてあります。
121,接,jiē,to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; take over for sb,迎える,我去接你。,私はあなたを迎えに行きます。,I will go to pick you up.,我去机场接我的朋友。,私は空港に友達を迎えに行きます。
122,街道,jiē dào,street; CL:条[tiao2],街道,街道很干净。,通りはとてもきれいです。,The street is very clean.,这条街道上有很多商店。,この通りにはたくさんの店があります。
123,结婚,jié hūn,to marry; to get married; CL:次[ci4],結婚する,他们结婚了。,彼らは結婚しました。,They got married.,他们上个月结婚了，非常幸福。,彼らは先月結婚して、とても幸せです。
124,结束,jié shù,to finish; to end; to conclude; to close; termination,終わる,会议结束了。,会議は終わりました。,The meeting has ended.,会议在下午五点结束。,会議は午後5時に終了します。
125,节目,jié mù,"program; item (on a program); CL:台[tai2] ,个,套[tao4]",番組,晚会有好节目。,晩会には良いプログラムがあります。,There are good programs at the party.,今晚的节目非常精彩，不要错过。,今夜の番組はとても素晴らしいので、見逃さないでください。
126,节日,jié rì,holiday; festival; CL:个,祭日,春节是节日。,春節は祝日です。,The Spring Festival is a holiday.,春节是中国最重要的节日。,春節は中国で最も重要な祭日です。
127,解决,jiě jué,to settle (a dispute); to resolve; to solve,解決する,我们解决问题。,私たちは問題を解決します。,We solve problems.,我们需要一起解决这个问题。,私たちは一緒にこの問題を解決する必要があります。
128,借,jiè,to lend; to borrow; excuse; pretext; by means of; to seize (an opportunity); to take (an opportunity),借りる,我借了一本书。,私は本を一冊借りました。,I borrowed a book.,我可以借你的笔吗？,あなたのペンを借りてもいいですか？
129,经常,jīng cháng,day to day; everyday; daily; frequently; constantly; regularly; often,よく,他经常跑步。,彼はよく走ります。,He often runs.,他经常去图书馆看书。,彼はよく図書館に本を読み行きます。
130,经过,jīng guò,to pass; to go through; process; course; CL:个,通る,我经过学校。,私は学校を通り過ぎました。,I passed by the school.,我经过公园的时候看到你了。,私が公園を通ったとき、あなたを見かけました。
131,经理,jīng lǐ,"manager; director; CL:个,位[wei4] ,名[ming2]",経理,经理很忙。,マネージャーはとても忙しいです。,The manager is very busy.,经理今天下午开了一个会议。,マネージャーは今日の午後、会議を開きました。
132,久,jiǔ,(long) time; (long) duration of time,長い時間,我等了很久。,私は長い間待ちました。,I waited for a long time.,我已经很久没有见你了。,私はもうずっとあなたに会っていません。
