No.,Chinese,Pinyin,English,Japanese,Example,Example_Japanese,Example_English,Long_Example,Long_Example_Japanese
30,悲观,bēi guān,pessimistic,悲観的,他对未来有些悲观情绪。,彼は未来について少し悲観的な気持ちを持っている。,He has some pessimistic feelings about the future.,面对困难，我们不能悲观，而要积极应对。,困難に直面しても悲観せず、積極的に対処しなければならない。
31,背,bèi,the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory,背中,请帮我背一下这个包。,この荷物を背負うのを手伝ってください。,Please help me carry this bag.,他背着沉重的书包，走在回家的路上。,彼は重いリュックを背負って、家に帰る道を歩いている。
32,背景,bèi jǐng,background; backdrop; context; CL:种[zhong3],背景,照片背景很有艺术感。,写真の背景はとても芸術的だ。,The background of the photo has a strong artistic sense.,这幅画的背景十分复杂，表达了作者的情感。,この絵の背景は非常に複雑で、作者の感情を表現している。
33,被子,bèi zi,quilt; CL:床[chuang2],掛け布団,冬天要盖厚被子保暖。,冬は厚い布団をかけて暖かくする必要がある。,"In winter, you need to cover yourself with a thick quilt to keep warm.",冬天晚上盖着暖和的被子，感觉很舒服。,冬の夜は暖かい布団をかけて、とても快適に感じる。
34,本科,běn kē,undergraduate course; undergraduate (adjective),学士,她毕业于著名本科院校。,彼女は有名な大学の学部を卒業した。,She graduated from a famous undergraduate institution.,他毕业于一所著名大学的本科专业。,彼は有名大学の学部課程を卒業した。
35,本领,běn lǐng,"skill; ability; capability; CL:项[xiang4] ,个",能力,他的本领很强，值得信赖。,彼の能力は非常に高く、信頼に値する。,His skills are very strong and trustworthy.,通过不断学习，他掌握了更多的本领。,絶えず学習することで、彼はより多くの技術を身につけた。
36,本质,běn zhì,essence; nature; innate character; intrinsic quality,本質,问题的本质需要深入分析。,問題の本質は深く分析する必要がある。,The essence of the problem needs to be analyzed deeply.,人的本质是复杂且多面的，难以简单定义。,人間の本質は複雑かつ多面的で、簡単に定義するのは難しい。
37,彼此,bǐ cǐ,each other; one another,お互い,彼此尊重是合作基础。,お互いに尊重することが協力の基礎だ。,Mutual respect is the foundation of cooperation.,我们应该彼此尊重，建立良好的关系。,私たちはお互いを尊重し、良好な関係を築くべきだ。
38,比例,bǐ lì,proportion; scale,割合,男女比例在这班很均衡。,このクラスの男女比はとても均衡している。,The gender ratio in this class is very balanced.,男女比例在这所学校大致相等。,この学校の男女比率はほぼ同じくらいだ。
39,必然,bì rán,inevitable; certain; necessity,必然,努力成功是必然结果。,努力すれば成功は必然の結果だ。,Success is the inevitable result of hard work.,努力学习是取得成功的必然途径。,努力して勉強することは成功を収める必然の道である。
40,必要,bì yào,necessary; essential; indispensable; required,必要,学习英语是必要技能。,英語を学ぶことは必要なスキルだ。,Learning English is a necessary skill.,在紧急情况下，必要的措施必须立即采取。,緊急の場合には、必要な措置を直ちに講じなければならない。
41,毕竟,bì jìng,after all; all in all; when all is said and done; in the final analysis,結局,毕竟经验更重要一些。,結局のところ、経験の方がより重要だ。,"After all, experience is somewhat more important.",毕竟，他有丰富的经验，值得我们学习。,結局のところ、彼は豊富な経験があり、私たちが学ぶ価値がある。
42,避免,bì miǎn,to avert; to prevent; to avoid; to refrain from,避ける,为了健康要避免熬夜。,健康のために夜更かしを避けるべきだ。,"To stay healthy, you should avoid staying up late.",为了避免误会，我们应该提前沟通清楚。,誤解を避けるために、私たちは事前にきちんとコミュニケーションを取るべきだ。
43,编辑,biān jí,to edit; to compile; editor; compiler,編集する,他负责杂志的内容编辑。,彼は雑誌の内容編集を担当している。,He is responsible for editing the magazine's content.,他负责编辑这本杂志的内容和排版。,彼はこの雑誌の内容とレイアウトの編集を担当している。
44,鞭炮,biān pào,firecrackers; a string of small firecrackers; CL:枚[mei2],爆竹,春节放鞭炮庆祝新年。,春節には爆竹を鳴らして新年を祝う。,"During the Spring Festival, firecrackers are set off to celebrate the New Year.",春节期间，人们喜欢燃放鞭炮庆祝节日。,春節の期間、人々は爆竹を鳴らしてお祝いするのが好きだ。
45,便,biàn,convenient; as convenient; ordinary; plain; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards,便利,手机让生活更便捷方便。,携帯電話は生活をより便利にしてくれる。,Mobile phones make life more convenient.,他便走进教室，开始了今天的讲课。,彼はすぐに教室に入り、今日の授業を始めた。
46,辩论,biàn lùn,"debate; argument; to argue over; CL:场[chang3] ,次[ci4]",討論する,学生们积极辩论社会问题。,学生たちは積極的に社会問題について討論している。,Students actively debate social issues.,学生们在课堂上进行了激烈的辩论。,学生たちは授業中に激しい討論を行った。
47,标点,biāo diǎn,punctuation; a punctuation mark; to punctuate; CL:个,句読点,标点符号使用很重要。,句読点の使い方はとても重要だ。,The use of punctuation marks is very important.,写作时要注意标点符号的正确使用。,作文の際には、句読点の正しい使い方に注意しなければならない。
48,标志,biāo zhì,sign; mark; symbol; symbolize; to indicate; to mark,標識,道路标志指引正确方向。,道路標識は正しい方向を示している。,Road signs guide the correct direction.,这座城市的标志是一座高大的雕像。,この都市のシンボルは高い彫像である。
49,表达,biǎo dá,to voice (an opinion); to express; to convey,表現する,他用诗歌表达内心感受。,彼は詩で内心の感情を表現している。,He expresses his inner feelings through poetry.,他通过演讲表达了自己的观点和想法。,彼はスピーチを通じて自分の意見や考えを表現した。
50,表面,biǎo miàn,surface; face; outside; appearance,表面,表面看起来很简单复杂。,表面は一見簡単そうに見えるが複雑だ。,The surface looks simple but is actually complex.,表面看起来简单，实际上问题很复杂。,表面上は簡単に見えるが、実際には問題は非常に複雑だ。
51,表明,biǎo míng,to make clear; to make known; to state clearly; to indicate; known,表明,他表明了立场。,彼は立場を明らかにした。,He expressed his position.,他在演讲中表明了自己对环境保护的坚定立场和未来的计划。,彼は演説で環境保護に対する自分の確固たる立場と将来の計画を表明した。
52,表情,biǎo qíng,(facial) expression; to express one's feelings; expression,表情,她的表情很丰富。,彼女の表情はとても豊かだ。,Her expressions are very rich.,她的表情非常丰富，能够准确地传达内心的情感变化。,彼女の表情は非常に豊かで、心の感情の変化を正確に伝えることができる。
53,表现,biǎo xiàn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc),表现,学生表现得很好。,学生はとてもよく振る舞った。,The students performed very well.,在这次比赛中，他的表现超出了所有人的预期，获得了第一名。,今回の試合で、彼のパフォーマンスは皆の予想を超え、一位を獲得した。
54,冰激凌,bīng jī líng,ice cream;,アイスクリーム,夏天喜欢吃冰激凌。,夏はアイスクリームを食べるのが好きだ。,I like to eat ice cream in summer.,夏天喝一杯冰激凌，不仅解渴还能带来快乐的心情。,夏にアイスクリームを一杯飲むと、喉の渇きを癒すだけでなく、楽しい気分にもなる。
55,病毒,bìng dú,virus,ウイルス,病毒传播很快。,ウイルスの伝播はとても速い。,The virus spreads very quickly.,科学家们正在努力研究新型病毒的传播途径和防控方法。,科学者たちは新型ウイルスの伝播経路と防止方法の研究に取り組んでいる。
56,播放,bō fàng,to broadcast; to transmit,再生する,请播放这段视频。,この動画を再生してください。,Please play this video.,电影将在晚上七点准时播放，请大家提前入场就座。,映画は夜の7時に定刻で上映されますので、皆さんは早めに入場して席に着いてください。
57,玻璃,bō li,"glass; nylon; plastic; CL:张[zhang1] ,块[kuai4]",ガラス,玻璃窗很干净。,ガラスの窓はとてもきれいだ。,The glass window is very clean.,这扇窗户是用高强度的玻璃制成，既美观又安全。,この窓は高強度のガラスで作られており、美しくて安全でもある。
58,博物馆,bó wù guǎn,museum,博物館,博物馆收藏丰富。,博物館の収蔵は豊富だ。,The museum has a rich collection.,博物馆收藏了大量珍贵的历史文物，吸引了众多游客参观。,博物館は大量の貴重な歴史的遺物を収蔵しており、多くの観光客を引きつけている。
59,脖子,bó zi,neck; CL:个,首,他的脖子受伤了。,彼は首をけがした。,He injured his neck.,他因为脖子受伤，暂时不能参加体育锻炼。,彼は首を怪我したため、しばらく体育の運動に参加できない。
60,不断,bú duàn,unceasing; uninterrupted; continuous; constant,絶えず,我们不断努力。,私たちは絶えず努力している。,We keep working hard.,为了提高工作效率，我们需要不断学习新的技术和方法。,仕事の効率を上げるために、私たちは新しい技術や方法を絶えず学ぶ必要がある。
61,不见得,bú jiàn de,not necessarily; not likely,必ずしも〜ない,他说的不见得对。,彼の言うことは必ずしも正しいとは限らない。,What he says is not necessarily correct.,他虽然很努力，但不见得能在短时间内完成这么复杂的任务。,彼は一生懸命だが、短期間でこんなに複雑な仕事を終えられるとは限らない。
62,不耐烦,bú nài fán,impatience; impatient,いらいらする,他有点不耐烦了。,彼は少しイライラしている。,He is a bit impatient.,老师不耐烦地提醒学生们注意课堂纪律，避免影响其他人学习。,先生はイライラしながら生徒たちに授業の規律を守るよう注意し、他の人の学習に影響を与えないようにした。
63,不要紧,bú yào jǐn,unimportant; not serious; it doesn't matter; never mind; it looks all right; but,問題ない,这事不要紧的。,このことは大丈夫だ。,This matter is not serious.,这点小问题不要紧，我们可以很快解决，不用担心。,この小さな問題は大したことではなく、すぐに解決できるので心配しないでください。
64,补充,bǔ chōng,to replenish; to supplement; to complement; additional; supplementary; CL:个,補充する,请补充说明内容。,内容を補足説明してください。,Please provide additional explanation of the content.,请你补充一下这份报告中遗漏的重要数据和信息。,この報告書に漏れている重要なデータや情報を補充してください。
65,不安,bù ān,unpeaceful; unstable; uneasy; disturbed; restless; worried,不安,我感到很不安。,私はとても不安を感じている。,I feel very uneasy.,考试前他感到非常不安，总是担心自己准备得不够充分。,試験の前に彼はとても不安を感じて、準備が十分でないことをいつも心配している。
66,不得了,bù dé liǎo,disastrous; desperately serious; extremely; exceedingly,非常に,情况不得了了。,状況はとても深刻だ。,The situation is terrible.,这次的比赛对他来说非常重要，失败的话后果将不得了。,今回の試合は彼にとって非常に重要で、失敗すれば結果が非常に重大になる。
67,不然,bù rán,not so; no; or else; otherwise; if not,そうでなければ,快点，不然迟到。,早くしないと遅刻するよ。,"Hurry up, or you'll be late.",你必须按时完成任务，不然整个项目都会受到影响。,あなたは期限内に仕事を終えなければならない。そうしないとプロジェクト全体に影響が出る。
68,不如,bù rú,not equal to; not as good as; inferior to; it would be better to,〜より劣る,他不如我努力。,彼は私ほど努力していない。,He is not as hardworking as I am.,和他的工作效率相比，我觉得自己的表现不如他出色。,彼の仕事の効率と比べると、自分のパフォーマンスは彼ほど優れていないと思う。
69,不足,bù zú,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,不足,经验还不足够。,経験はまだ十分ではない。,The experience is still insufficient.,这次调查显示，我们产品的市场占有率还有不足，需要改进策略。,今回の調査では、私たちの製品の市場占有率にはまだ不足があり、戦略を改善する必要があることが示された。
70,布,bù,cloth; to declare; to announce; to spread; to make known,布,这块布很柔软。,この布はとても柔らかい。,This cloth is very soft.,这家店出售各种颜色和材质的布料，满足不同顾客的需求。,この店は様々な色と素材の布を販売しており、さまざまな顧客のニーズに応えている。
71,步骤,bù zhòu,step; move; measure,手順,请按步骤操作。,手順に従って操作してください。,Please operate according to the steps.,完成这个项目需要遵循严格的步骤，确保每个环节都不出错。,このプロジェクトを完成させるには厳密な手順を守り、各段階でミスがないようにする必要がある。
72,部门,bù mén,department; branch; section; division; CL:个,部署,这个部门很重要。,この部署はとても重要だ。,This department is very important.,不同部门之间需要加强沟通与合作，才能提高整体效率。,異なる部署間はコミュニケーションと協力を強化しなければ、全体の効率を高めることはできない。
73,财产,cái chǎn,property; assets; estate; CL:笔[bi3],財産,他失去了全部财产。,彼は全財産を失った。,He lost all his property.,他为了保护家庭财产，专门咨询了法律专家的意见。,彼は家族の財産を守るために、法律の専門家に意見を求めた。
74,彩虹,cǎi hóng,rainbow,虹,雨后出现彩虹。,雨の後に虹が現れた。,A rainbow appeared after the rain.,雨后天空出现了一道美丽的彩虹，吸引了许多人驻足观赏。,雨のあと、空に美しい虹が現れ、多くの人が立ち止まって見入った。
75,踩,cǎi,to step on; to tread; to stamp; to press a pedal; to pedal (a bike),踏む,不要踩草地。,芝生を踏まないでください。,Please do not step on the grass.,小心脚下，不要踩到地上的水渍，以免滑倒受伤。,足元に気をつけて、床の水たまりを踏まないようにして、滑って怪我しないように。
76,采访,cǎi fǎng,to interview; to gather news; to hunt for and collect; to cover,取材する,记者正在采访他。,記者が彼にインタビューしている。,The reporter is interviewing him.,记者们纷纷前往现场进行采访，了解事件的最新进展。,記者たちは次々と現場に赴き、事件の最新の進展を取材した。
77,采取,cǎi qǔ,"to adopt or carry out (measures, policies, course of action); to take",取る,采取措施保护环境。,環境を守るために措置を取る。,Take measures to protect the environment.,公司决定采取更加积极的市场策略来应对激烈的竞争。,会社は激しい競争に対応するため、より積極的な市場戦略を採用することに決めた。
78,参考,cān kǎo,reference; to consult; to refer; consultation,参考にする,请参考这本书。,この本を参考にしてください。,Please refer to this book.,在写论文时，参考相关的文献资料是非常重要的环节。,論文を書くとき、関連する文献資料を参考にすることは非常に重要な段階である。
79,参与,cān yù,to participate (in sth),参加する,他积极参与活动。,彼は積極的に活動に参加している。,He actively participates in activities.,他积极参与了社区的志愿服务活动，赢得了大家的认可。,彼は積極的に地域のボランティア活動に参加し、皆からの評価を得た。
80,惭愧,cán kuì,ashamed; be ashamed,恥ずかしい,我感到很惭愧。,私はとても恥ずかしく感じている。,I feel very ashamed.,对于自己的错误，他感到非常惭愧，决心以后改正。,自分の間違いについて、彼は非常に恥ずかしく感じ、今後は改める決意をした。
81,操场,cāo chǎng,playground; sports field; drill ground; CL:个,運動場,学生在操场锻炼。,学生たちは運動場で運動している。,The students are exercising on the playground.,学生们在操场上进行体育锻炼，增强了身体素质。,生徒たちは運動場で体育の運動を行い、体力を強化した。
82,操心,cāo xīn,to worry about,心配する,妈妈总是操心孩子。,母はいつも子供のことを心配している。,Mom is always worried about the children.,父母总是为孩子的学习操心，希望他们能够取得好成绩。,両親はいつも子供の学習を心配し、良い成績を取れるよう願っている。
83,册,cè,booklet; book; classifier for books,冊,这本书有三册。,この本は三冊ある。,This book has three volumes.,这本书分为三册，每册内容都非常丰富且有深度。,この本は三冊に分かれており、それぞれの内容は非常に豊富で深みがある。
84,测验,cè yàn,"test; to test; CL:次[ci4] ,个",テスト,今天有测验考试。,今日は小テストがある。,There is a quiz today.,老师安排了一次测验，以检测学生们对知识的掌握情况。,先生は学生たちの知識の習得状況を確認するためにテストを行った。
85,曾经,céng jīng,once; already; former; previously; ever; (past tense marker used before verb or clause),かつて,我曾经去过北京。,私はかつて北京に行ったことがある。,I have been to Beijing before.,他曾经去过很多国家，积累了丰富的旅游经验。,彼は以前に多くの国を訪れており、豊富な旅行経験を積んだ。
86,叉子,chā zi,fork; CL:把[ba3],フォーク,请用叉子吃饭。,フォークを使って食べてください。,Please eat with a fork.,请把叉子和刀子放在桌子左边，方便大家用餐。,フォークとナイフをテーブルの左側に置いて、みんなが食事しやすいようにしてください。
87,差距,chā jù,disparity; gap,差,两者差距很大。,両者の差はとても大きい。,The gap between the two is very large.,两国之间的经济差距逐渐缩小，合作也更加密切。,両国間の経済格差は徐々に縮小し、協力もより密接になっている。
88,插,chā,to insert; stick in; pierce; to take part in; to interfere; to interpose,差し込む,把钥匙插进去。,鍵を差し込んでください。,Insert the key.,请不要随意插话，等别人说完再发表自己的意见。,勝手に話を遮らず、他の人が話し終わってから自分の意見を述べてください。
89,拆,chāi,to tear open; to tear down; to tear apart; to open,解体する,工人正在拆旧房。,作業員が古い家を解体している。,The workers are demolishing the old house.,工人们正在拆除旧建筑，为新项目的建设做准备。,作業員たちは古い建物を解体して、新しいプロジェクトの建設準備をしている。
90,产品,chǎn pǐn,goods; merchandise; product; CL:个,製品,这款产品很受欢迎。,この製品はとても人気がある。,This product is very popular.,这家工厂生产的产品质量稳定，深受消费者信赖。,この工場が生産する製品は品質が安定しており、消費者からの信頼が厚い。
91,产生,chǎn shēng,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield,生じる,问题产生于误解。,問題は誤解から生じた。,The problem arose from a misunderstanding.,新政策的实施将产生积极的社会影响，促进经济发展。,新しい政策の実施は積極的な社会的影響を生み、経済発展を促進するだろう。
92,常识,cháng shí,common sense; general knowledge; CL:门[men2],常識,这是基本常识。,これは基本的な常識だ。,This is basic common knowledge.,掌握基本的常识对于解决日常生活中的问题非常有帮助。,基本的な常識を身につけることは、日常生活の問題を解決するのに非常に役立つ。
93,长途,cháng tú,long distance,長距離,他经常长途旅行。,彼はよく長距離旅行をする。,He often takes long-distance trips.,长途旅行虽然辛苦，但也能看到不同地方的风土人情。,長距離の旅行は大変だが、さまざまな場所の風土や人情を見ることができる。
94,抄,chāo,to copy; to plagiarize; to search and seize; to go; to transcribe; to take a shortcut; to search and confiscate,写す,请抄下重点内容。,重要な内容を書き写してください。,Please copy down the key points.,学生们认真地抄写了老师板书的重点内容，方便复习。,学生たちは先生の黒板に書いた重要な内容を真剣に写し、復習に役立てた。
95,超级,chāo jí,transcending; high grade; super-; ultra-,スーパー,他是超级明星。,彼はスーパースターだ。,He is a superstar.,这款手机拥有超级强大的性能，受到年轻人的喜爱。,このスマートフォンは超強力な性能を持ち、若者に人気がある。
96,朝,cháo,imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards,〜へ向かう,我们朝北走过去。,私たちは北に向かって歩いていった。,We walked northward.,古代建筑大多朝南建造，以便获得更多的阳光和温暖。,古代の建築物はほとんど南向きに建てられ、より多くの日光と暖かさを得られるようになっている。
97,潮湿,cháo shī,moist; damp,湿っている,天气很潮湿闷热。,天気はとても湿っぽく蒸し暑い。,The weather is very humid and sultry.,雨后的空气变得潮湿，感觉有些闷热不舒服。,雨の後、空気が湿っぽくなり、蒸し暑くて少し不快に感じる。
98,吵,chǎo,to make a noise; noisy; to disturb by making a noise,騒ぐ,孩子们吵得很凶。,子供たちはとても激しく騒いでいる。,The children are making a lot of noise.,邻居们因为一点小事吵了起来，气氛变得很紧张。,隣人たちはちょっとしたことで口論になり、雰囲気がとても緊張したものになった。
99,吵架,chǎo jià,to quarrel; to have a row; CL:顿[dun4],喧嘩する,他们经常吵架。,彼らはよく喧嘩をする。,They often quarrel.,他们因为意见不同而吵架，但最后还是和解了。,彼らは意見の違いで喧嘩したが、最後には和解した。
100,炒,chǎo,pan-fry; to fry; fried; sauté,炒める,妈妈在炒菜。,母は料理を炒めている。,Mom is stir-frying food.,妈妈在厨房里炒菜，香味飘满了整个房间。,お母さんは台所で炒め物をしていて、香りが部屋中に漂っている。
101,车库,chē kù,garage,車庫,车库里停着一辆车。,車庫に車が一台停まっている。,There is a car parked in the garage.,我的车库里停放着三辆不同品牌的汽车，空间非常宽敞方便。,私の車庫には異なるブランドの車が3台停めてあり、スペースがとても広くて便利です。
102,车厢,chē xiāng,carriage; CL:节[jie2],車両,车厢内坐满了乘客。,車両内は乗客でいっぱいだ。,The carriage is full of passengers.,火车车厢内的座位分布合理，乘坐起来非常舒适。,列車の車両内の座席配置は合理的で、とても快適に乗ることができます。
103,彻底,chè dǐ,thorough; thoroughly; complete,徹底,他彻底改变了态度。,彼は態度を完全に変えた。,He completely changed his attitude.,为了保护环境，我们必须彻底改变以往的生活方式。,環境を守るために、私たちは従来の生活様式を徹底的に変えなければなりません。
104,沉默,chén mò,taciturn; silent; uncommunicative,沈黙,会议室里一片沉默。,会議室は一面の沈黙だった。,The meeting room was filled with silence.,在会议上，他因为不同意大家的观点而保持沉默。,会議で彼は皆の意見に賛同できず、沈黙を守りました。
105,趁,chèn,to avail oneself of; to take advantage of,利用,他趁机逃走了。,彼はその機会を利用して逃げた。,He took the opportunity to escape.,趁天气还没变冷，我们去公园散步吧。,まだ寒くなる前に、公園へ散歩に行きましょう。
106,称,chēng,to weigh; to state; to name; name; appellation; to praise,称呼,大家怎么称呼他？,みんなは彼をどう呼んでいるの？,How does everyone address him?,他自称是这方面的专家，但其实经验并不丰富。,彼はこの分野の専門家だと称しているが、実は経験が豊富ではありません。
107,称呼,chēng hu,to call; to address as; appellation,呼称,老师是对他的称呼。,『先生』は彼に対する呼び方だ。,'Teacher' is the way to address him.,在正式场合，正确的称呼非常重要，体现礼貌和尊重。,正式な場では、正しい呼称が非常に重要で、礼儀と尊重を示します。
